customerID,gender,SeniorCitizen,Partner,Dependents,customer_key
3410-YOQBQ,Female,No,No,No,68
3170-NMYVV,Female,No,Yes,Yes,69
7410-OIEDU,Male,No,No,No,70
2273-QCKXA,Male,No,No,No,71
0731-EBJQB,Female,No,Yes,Yes,72
1891-QRQSA,Male,Yes,Yes,Yes,73
8028-PNXHQ,Male,No,Yes,Yes,74
5630-AHZIL,Female,No,No,Yes,75
2673-CXQEU,Female,Yes,No,No,76
6416-JNVRK,Female,No,No,No,77
5590-ZSKRV,Female,No,Yes,Yes,78
0191-ZHSKZ,Male,Yes,No,No,79
3887-PBQAO,Female,No,Yes,Yes,80
5919-TMRGD,Female,No,No,Yes,81
8108-UXRQN,Female,No,Yes,Yes,82
9191-MYQKX,Female,No,Yes,No,83
9919-YLNNG,Female,No,No,No,84
0318-ZOPWS,Female,No,Yes,No,85
4445-ZJNMU,Male,No,No,No,86
4808-YNLEU,Female,No,Yes,No,87
1862-QRWPE,Female,No,Yes,Yes,88
2796-NNUFI,Female,No,Yes,Yes,89
3016-KSVCP,Male,No,Yes,No,90
4767-HZZHQ,Male,No,Yes,Yes,91
2424-WVHPL,Male,Yes,No,No,92
7233-PAHHL,Male,No,Yes,Yes,93
6067-NGCEU,Female,No,No,No,94
9848-JQJTX,Male,No,No,No,95
8637-XJIVR,Female,No,No,No,96
9803-FTJCG,Male,No,Yes,Yes,97
0278-YXOOG,Male,No,No,No,98
3212-KXOCR,Male,No,No,No,99
4598-XLKNJ,Female,Yes,Yes,No,100
6380-ARCEH,Male,No,No,No,101
3679-XASPY,Female,No,Yes,Yes,102
7123-WQUHX,Male,No,No,No,103
5386-THSLQ,Female,Yes,Yes,No,104
3192-NQECA,Male,No,Yes,No,105
6180-YBIQI,Male,No,No,No,106
6728-DKUCO,Female,No,Yes,Yes,107
9750-BOOHV,Female,No,No,No,108
8597-CWYHH,Male,No,No,No,109
2848-YXSMW,Male,No,Yes,Yes,110
0486-HECZI,Male,No,Yes,No,111
4549-ZDQYY,Female,No,No,No,112
5712-AHQNN,Female,No,No,No,113
4846-WHAFZ,Female,Yes,Yes,No,114
5256-SKJGO,Female,No,Yes,Yes,115
3071-VBYPO,Male,No,Yes,Yes,116
9560-BBZXK,Female,No,No,No,117
5299-RULOA,Female,No,Yes,Yes,118
8402-OOOHJ,Female,No,No,No,119
9445-ZUEQE,Male,No,Yes,Yes,120
1091-SOZGA,Female,No,Yes,Yes,121
2928-HLDBA,Female,No,No,No,122
0404-SWRVG,Male,No,No,No,123
6497-TILVL,Female,No,Yes,Yes,124
7219-TLZHO,Female,No,Yes,Yes,125
4622-YNKIJ,Male,No,No,No,126
4412-YLTKF,Female,Yes,No,No,127
6734-PSBAW,Male,No,Yes,No,128
3930-ZGWVE,Male,No,No,No,129
2639-UGMAZ,Male,Yes,No,No,130
2876-GZYZC,Female,No,No,No,131
6207-WIOLX,Female,No,Yes,Yes,132
8587-XYZSF,Male,No,No,No,133
3091-FYHKI,Male,No,No,No,134
2372-HWUHI,Male,No,No,No,135
7799-LGRDP,Female,No,No,No,136
7850-VWJUU,Female,No,No,No,137
3774-VBNXY,Female,No,Yes,Yes,138
6217-KDYWC,Male,No,No,Yes,139
0390-DCFDQ,Female,Yes,Yes,No,140
3146-MSEGF,Female,Yes,Yes,Yes,141
4080-OGPJL,Female,No,No,No,142
1095-WGNGG,Female,No,Yes,No,143
2636-SJDOU,Male,No,No,No,144
1131-QQZEB,Male,Yes,Yes,No,145
5716-EZXZN,Female,No,Yes,Yes,146
6837-BJYDQ,Male,No,No,No,147
2135-RXIHG,Male,No,No,No,148
6440-DKQGE,Male,No,No,Yes,149
3466-BYAVD,Male,No,Yes,Yes,150
3780-YVMFA,Female,No,Yes,Yes,151
3874-EQOEP,Male,No,No,No,152
1679-JRFBR,Female,No,Yes,Yes,153
9073-ZZIAY,Male,No,Yes,Yes,154
3077-RSNTJ,Female,No,Yes,Yes,155
6551-GNYDG,Female,No,Yes,Yes,156
9167-APMXZ,Female,No,No,No,157
2749-CTKAJ,Male,No,Yes,Yes,158
6371-NZYEG,Male,No,Yes,Yes,159
7554-NEWDD,Male,No,No,No,160
8992-VONJD,Female,No,No,Yes,161
0867-MKZVY,Female,No,Yes,No,162
4482-EWFMI,Female,No,No,No,163
4648-YPBTM,Male,No,No,No,164
2907-ILJBN,Female,No,Yes,Yes,165
6345-FZOQH,Male,No,Yes,No,166
3376-BMGFE,Female,No,No,No,167
5997-OPVFA,Male,No,Yes,No,168
3445-HXXGF,Male,Yes,Yes,No,169
1159-WFSGR,Female,No,Yes,Yes,170
7654-YWJUF,Male,No,Yes,No,171
1875-QIVME,Female,No,Yes,No,172
6727-IOTLZ,Male,No,Yes,No,173
0691-JVSYA,Female,No,Yes,No,174
5918-VUKWP,Female,No,No,No,175
1744-JHKYS,Female,No,Yes,No,176
2656-FMOKZ,Female,Yes,No,No,177
2070-FNEXE,Female,Yes,No,No,178
5947-SGKCL,Female,No,Yes,Yes,179
3712-PKXZA,Male,No,Yes,No,180
6317-YPKDH,Female,No,No,No,181
6582-OIVSP,Female,No,No,No,182
9367-WXLCH,Male,No,No,No,183
5524-KHNJP,Male,No,Yes,Yes,184
1918-ZBFQJ,Female,No,No,No,185
1024-GUALD,Female,No,Yes,No,186
4827-USJHP,Male,No,No,No,187
8167-GJLRN,Male,No,No,No,188
0956-SYCWG,Female,No,No,No,189
8017-UVSZU,Female,No,Yes,No,190
7100-FQPRV,Male,No,Yes,Yes,191
2472-OVKUP,Male,No,Yes,No,192
2984-RGEYA,Female,No,Yes,Yes,193
9680-NIAUV,Female,No,Yes,Yes,194
2146-EGVDT,Male,No,Yes,Yes,195
2604-IJPDU,Female,No,Yes,No,196
9178-JHUVJ,Male,No,Yes,Yes,197
6168-YBYNP,Male,No,No,No,198
7255-SSFBC,Male,No,Yes,Yes,199
3645-DEYGF,Male,No,No,Yes,200
9323-HGFWY,Female,No,Yes,No,201
8544-GOQSH,Female,No,No,No,202
3363-DTIVD,Male,No,Yes,Yes,203
7018-WBJNK,Male,No,No,Yes,204
9142-KZXOP,Male,No,No,No,205
7674-YTAFD,Female,No,No,No,206
6348-SNFUS,Male,No,Yes,Yes,207
1285-OKIPP,Male,No,No,No,208
7825-ECJRF,Female,No,No,No,209
1347-KTTTA,Male,No,Yes,No,210
7841-TZDMQ,Male,No,No,No,211
4195-NZGTA,Female,No,No,No,212
7157-SMCFK,Male,No,No,Yes,213
4709-LKHYG,Female,No,Yes,Yes,214
2504-DSHIH,Male,Yes,Yes,No,215
0699-NDKJM,Female,No,Yes,No,216
9286-BHDQG,Male,No,Yes,Yes,217
0230-WEQUW,Male,No,Yes,No,218
2040-LDIWQ,Male,No,Yes,Yes,219
6496-JDSSB,Female,No,No,No,220
9408-SSNVZ,Female,No,No,No,221
4443-EMBNA,Female,No,Yes,No,222
6469-MRVET,Male,No,Yes,Yes,223
0742-MOABM,Male,No,Yes,No,224
5961-VUSRV,Female,No,No,No,225
6778-JFCMK,Male,No,No,No,226
6341-JVQGF,Female,No,Yes,Yes,227
2232-DMLXU,Female,No,Yes,No,228
4811-JBUVU,Male,No,No,No,229
0945-TSONX,Female,No,Yes,Yes,230
2651-ZCBXV,Male,No,No,No,231
3316-UWXUY,Male,No,No,No,232
8937-RDTHP,Male,No,No,No,233
7083-MIOPC,Female,No,No,No,234
1984-GPTEH,Female,No,No,No,235
1251-KRREG,Male,No,No,No,236
0621-JFHOL,Female,No,No,No,237
9903-LYSAB,Male,No,Yes,No,238
0094-OIFMO,Female,Yes,No,No,239
9227-UAQFT,Male,No,No,No,240
7301-ABVAD,Female,No,No,No,241
6614-FHDBO,Male,No,No,No,242
7576-ASEJU,Female,No,Yes,Yes,243
9058-HRZSV,Female,Yes,Yes,No,244
4522-AKYLR,Female,Yes,No,No,245
0221-WMXNQ,Male,Yes,No,No,246
0303-UNCIP,Male,No,No,No,247
9947-OTFQU,Male,Yes,No,No,248
0322-YINQP,Male,No,No,No,249
0959-WHOKV,Male,No,No,No,250
4075-JFPGR,Female,No,Yes,No,251
4629-NRXKX,Female,No,Yes,Yes,252
9514-JDSKI,Male,Yes,Yes,No,253
3282-ZISZV,Male,No,No,Yes,254
3675-YDUPJ,Male,No,No,No,255
4111-BNXIF,Female,No,Yes,Yes,256
7017-VFHAY,Female,No,Yes,Yes,257
6655-LHBYW,Male,No,No,No,258
4959-JOSRX,Female,No,Yes,No,259
5046-NUHWD,Female,Yes,Yes,No,260
7273-TEFQD,Male,Yes,No,No,261
3606-TWKGI,Male,Yes,No,No,262
7529-ZDFXI,Male,Yes,Yes,No,263
7605-BDWDC,Female,No,No,No,264
1950-KSVVJ,Female,No,Yes,No,265
0123-CRBRT,Female,No,Yes,Yes,266
6292-TOSSS,Male,No,No,No,267
3197-ARFOY,Female,Yes,No,No,268
6323-AYBRX,Male,No,No,No,269
7014-ZZXAW,Female,No,Yes,No,270
4385-GZQXV,Female,Yes,No,No,271
7633-MVPUY,Male,No,Yes,No,272
6366-ZGQGL,Male,No,No,No,273
4716-HHKQH,Male,Yes,Yes,No,274
5940-AHUHD,Male,No,No,No,275
6432-TWQLB,Male,No,Yes,No,276
4484-GLZOU,Female,No,Yes,No,277
3179-GBRWV,Male,Yes,Yes,No,278
8645-KWHJO,Male,No,No,No,279
4130-MZLCC,Female,No,No,No,280
0314-TKOSI,Female,No,No,No,281
8229-MYEJZ,Female,No,No,No,282
2080-SRCDE,Female,No,No,Yes,283
9577-WJVCQ,Female,No,No,No,284
9512-UIBFX,Male,No,Yes,Yes,285
6202-DYYFX,Female,No,No,No,286
3808-HFKDE,Female,No,No,No,287
5583-SXDAG,Male,No,Yes,No,288
3488-PGMQJ,Male,Yes,No,No,289
3580-REOAC,Male,No,No,No,290
7534-BFESC,Male,Yes,No,No,291
3727-OWVYD,Male,No,No,No,292
2294-SALNE,Male,No,Yes,Yes,293
4847-TAJYI,Female,Yes,No,No,294
1563-IWQEX,Female,No,No,No,295
8203-XJZRC,Male,No,No,No,296
6556-DBKZF,Female,No,Yes,Yes,297
6851-WEFYX,Male,Yes,Yes,No,298
2985-JUUBZ,Male,No,Yes,Yes,299
6390-DSAZX,Female,No,No,Yes,300
0895-LMRSF,Male,No,No,No,301
8098-LLAZX,Female,Yes,No,No,302
8266-VBFQL,Male,No,No,No,303
8181-YHCMF,Female,No,Yes,Yes,304
2240-HSJQD,Male,No,No,Yes,305
1248-DYXUB,Male,No,Yes,Yes,306
0265-EDXBD,Male,Yes,Yes,No,307
4115-BNPJY,Male,No,Yes,Yes,308
3167-SNQPL,Male,Yes,Yes,Yes,309
4091-TVOCN,Male,No,No,Yes,310
1098-TDVUQ,Female,No,No,No,311
7277-OZCGZ,Female,No,No,No,312
1557-EMYVT,Female,No,No,No,313
2799-ARNLO,Female,Yes,Yes,No,314
7563-BIUPC,Male,No,No,No,315
5027-YOCXN,Male,No,Yes,Yes,316
3973-SKMLN,Male,No,No,No,317
2321-OMBXY,Female,No,Yes,Yes,318
2840-XANRC,Male,Yes,Yes,No,319
6745-JEFZB,Male,No,Yes,No,320
5020-ZSTTY,Female,Yes,No,No,321
9880-TDQAC,Female,No,Yes,Yes,322
8705-WZCYL,Male,No,No,No,323
7102-JJVTX,Female,No,Yes,Yes,324
8626-PTQGE,Male,No,No,No,325
4983-CLMLV,Female,No,Yes,No,326
5701-YVSVF,Female,Yes,Yes,No,327
5804-LEPIM,Female,Yes,No,No,328
5697-GOMBF,Female,Yes,Yes,Yes,329
2739-CACDQ,Female,Yes,No,No,330
9385-EHGDO,Female,No,Yes,Yes,331
9498-FIMXL,Female,No,No,No,332
2379-GYFLQ,Male,No,No,No,333
0122-OAHPZ,Female,No,No,No,334
2868-SNELZ,Female,No,No,No,335
4322-RCYMT,Male,No,Yes,Yes,336
6680-NENYN,Female,No,No,No,337
2088-IEBAU,Female,No,No,No,338
7982-VCELR,Female,No,No,No,339
1343-EHPYB,Male,No,Yes,No,340
6035-BXTTY,Female,Yes,No,No,341
6885-PKOAM,Female,No,Yes,No,342
7520-HQWJU,Female,No,Yes,Yes,343
9639-BUJXT,Male,No,No,No,344
5924-SNGKP,Female,No,No,Yes,345
0021-IKXGC,Female,Yes,No,No,346
2034-GDRCN,Female,No,No,No,347
8966-SNIZF,Female,No,Yes,No,348
6243-OZGFH,Female,No,No,No,349
4654-DLAMQ,Female,Yes,Yes,No,350
0513-RBGPE,Male,No,Yes,Yes,351
5160-UXJED,Male,No,No,Yes,352
4115-NZRKS,Female,Yes,No,No,353
0219-YTZUE,Male,No,Yes,Yes,354
0623-IIHUG,Female,Yes,No,No,355
4572-DVCGN,Female,No,No,No,356
3351-NGXYI,Female,Yes,No,No,357
8984-EYLLL,Male,No,Yes,No,358
9057-MSWCO,Male,Yes,Yes,No,359
9833-TGFHX,Male,No,Yes,Yes,360
9294-TDIPC,Male,No,No,Yes,361
5229-DTFYB,Female,No,No,No,362
0104-PPXDV,Male,No,Yes,No,363
5176-LMJXE,Female,No,No,No,364
3583-KRKMD,Male,No,No,No,365
1010-DIAUQ,Male,No,No,No,366
9069-LGEUL,Male,No,Yes,No,367
7302-ZHMHP,Female,No,No,No,368
9571-EDEBV,Male,No,Yes,No,369
3520-FJGCV,Male,No,Yes,Yes,370
6563-VRERX,Male,No,Yes,Yes,371
0259-GBZSH,Male,No,No,No,372
6122-EFVKN,Male,No,No,Yes,373
2805-EDJPQ,Female,No,Yes,Yes,374
6862-CQUMB,Male,No,No,No,375
7156-MXBJE,Female,No,No,No,376
6158-HDPXZ,Male,No,No,No,377
9601-BRXPO,Female,No,Yes,No,378
2863-IMQDR,Female,No,No,No,379
5686-CMAWK,Male,No,No,No,380
5651-CRHKQ,Female,No,Yes,No,381
6905-NIQIN,Male,No,No,No,382
8204-YJCLA,Male,Yes,Yes,Yes,383
5167-ZFFMM,Male,No,No,No,384
6583-SZVGP,Male,No,No,No,385
4895-TMWIR,Male,Yes,Yes,No,386
0533-BNWKF,Female,Yes,Yes,No,387
1708-PBBOA,Female,No,No,No,388
8782-LKFPK,Male,No,No,No,389
5522-JBWMO,Male,No,No,Yes,390
3597-MVHJT,Female,No,No,No,391
9774-NRNAU,Male,Yes,Yes,No,392
0224-RLWWD,Female,Yes,No,No,393
9967-ATRFS,Female,No,No,No,394
3951-NJCVI,Female,Yes,Yes,No,395
2977-CEBSX,Female,No,No,No,396
0177-PXBAT,Male,Yes,Yes,No,397
6599-CEBNN,Female,No,No,No,398
2519-ERQOJ,Male,Yes,No,No,399
5876-QMYLD,Female,No,Yes,Yes,400
2277-AXSDC,Female,No,No,No,401
9442-JTWDL,Female,No,No,No,402
0979-PHULV,Male,No,Yes,Yes,403
3067-SVMTC,Female,No,Yes,No,404
5495-GPSRW,Male,No,No,No,405
7606-BPHHN,Male,No,No,No,406
4742-DRORA,Male,No,Yes,Yes,407
0111-KLBQG,Male,Yes,Yes,Yes,408
4800-VHZKI,Female,No,No,No,409
7989-CHGTL,Male,No,No,No,410
0334-GDDSO,Male,Yes,No,No,411
4163-NCJAK,Female,No,Yes,No,412
5233-AOZUF,Female,No,Yes,No,413
5973-EJGDP,Male,No,No,No,414
1996-DBMUS,Female,Yes,Yes,No,415
7916-VCCPB,Female,No,Yes,Yes,416
4686-GEFRM,Male,No,Yes,No,417
5249-QYHEX,Female,No,Yes,Yes,418
0578-SKVMF,Female,No,Yes,Yes,419
5564-NEMQO,Female,Yes,No,No,420
2233-FAGXV,Female,No,Yes,Yes,421
5605-IYGFG,Female,No,No,No,422
7663-ZTEGJ,Male,No,No,Yes,423
3935-TBRZZ,Male,No,Yes,Yes,424
8111-BKVDS,Female,No,No,No,425
2055-SIFSS,Female,Yes,Yes,No,426
2806-MLNTI,Male,Yes,Yes,No,427
8734-DKSTZ,Female,No,Yes,Yes,428
4360-PNRQB,Male,No,No,No,429
6152-ONASV,Female,No,Yes,No,430
9063-ZGTUY,Female,No,Yes,Yes,431
7781-HVGMK,Female,No,Yes,Yes,432
2181-UAESM,Male,No,No,No,433
2957-LOLHO,Male,No,No,No,434
6048-NJXHX,Male,No,Yes,No,435
2320-SLKMB,Female,No,No,No,436
4980-URKXC,Male,No,Yes,No,437
4376-KFVRS,Male,No,Yes,Yes,438
5886-VLQVU,Male,No,Yes,No,439
3577-AMVUX,Male,No,No,No,440
0771-WLCLA,Female,No,Yes,Yes,441
5628-RKIFK,Female,Yes,No,No,442
0206-TBWLC,Female,No,Yes,No,443
2937-FTHUR,Female,No,No,Yes,444
1910-FMXJM,Female,No,Yes,No,445
7752-XUSCI,Female,No,No,No,446
4110-PFEUZ,Female,No,No,No,447
0732-OCQOC,Female,No,Yes,Yes,448
5168-MSWXT,Male,No,Yes,Yes,449
1090-ESELR,Male,No,Yes,Yes,450
8592-PLTMQ,Female,No,No,No,451
5760-WRAHC,Female,Yes,No,No,452
8847-GEOOQ,Male,No,Yes,No,453
0256-LTHVJ,Female,No,Yes,Yes,454
4785-FCIFB,Female,No,Yes,No,455
8313-NDOIA,Female,No,No,No,456
5149-CUZUJ,Male,No,Yes,Yes,457
0942-KOWSM,Female,No,Yes,Yes,458
4237-CLSMM,Male,No,Yes,No,459
1452-VOQCH,Male,No,No,No,460
4719-UMSIY,Male,No,No,Yes,461
6614-VBEGU,Female,No,Yes,No,462
0880-TKATG,Male,No,Yes,Yes,463
3811-VBYBZ,Male,No,No,No,464
1480-BKXGA,Male,Yes,Yes,No,465
2996-XAUVF,Male,No,No,No,466
9076-AXYIK,Male,Yes,Yes,No,467
5968-XQIVE,Male,No,Yes,Yes,468
8896-RAZCR,Female,No,No,Yes,469
4640-UHDOS,Female,No,Yes,Yes,470
4933-IKULF,Female,Yes,No,No,471
3583-EKAPL,Male,No,No,No,472
1304-BCCFO,Male,No,Yes,No,473
4104-PVRPS,Male,No,Yes,No,474
9399-APLBT,Female,No,Yes,Yes,475
2359-KMGLI,Male,No,No,No,476
3780-DDGSE,Male,Yes,Yes,Yes,477
4431-EDMIQ,Female,No,Yes,Yes,478
0306-JAELE,Male,No,No,No,479
6227-HWPWX,Female,No,No,Yes,480
0486-LGCCH,Male,No,Yes,Yes,481
0447-BEMNG,Female,No,Yes,No,482
4612-SSVHJ,Female,Yes,No,No,483
5168-MQQCA,Female,No,Yes,No,484
5949-XIKAE,Female,No,Yes,Yes,485
7971-HLVXI,Male,No,Yes,Yes,486
9094-AZPHK,Female,No,No,No,487
3649-JPUGY,Male,No,No,No,488
4472-LVYGI,Female,No,Yes,Yes,489
8372-JUXUI,Male,No,No,Yes,490
3552-CTCYF,Male,No,Yes,Yes,491
6778-YSNIH,Female,No,No,No,492
0388-EOPEX,Female,No,Yes,No,493
5756-OZRIO,Male,Yes,Yes,No,494
6579-JPICP,Male,No,No,No,495
8205-OTCHB,Male,No,No,No,496
4134-BSXLX,Male,No,Yes,No,497
0505-SPOOW,Female,No,Yes,No,498
6235-VDHOM,Female,Yes,No,No,499
7783-YKGDV,Female,No,No,No,500
4374-YMUSQ,Male,No,No,No,501
4513-CXYIX,Female,Yes,Yes,No,502
3957-HHLMR,Female,No,Yes,Yes,503
7803-XOCCZ,Female,No,Yes,Yes,504
5736-YEJAX,Male,No,No,Yes,505
5609-CEBID,Female,Yes,No,No,506
8981-FJGLA,Male,No,No,Yes,507
7218-HKQFK,Male,No,Yes,No,508
4636-QRJKY,Female,No,Yes,Yes,509
1135-LMECX,Female,No,No,No,510
4332-MUOEZ,Male,Yes,Yes,Yes,511
8535-SFUTN,Male,No,No,No,512
5956-VKDTT,Female,Yes,Yes,No,513
8677-HDZEE,Female,No,No,No,514
2475-MROZF,Male,No,No,No,515
9412-GHEEC,Male,No,No,No,516
3482-ABPKK,Female,No,No,No,517
6705-LXORM,Female,Yes,Yes,No,518
0257-ZESQC,Female,Yes,Yes,No,519
7531-GQHME,Male,No,No,No,520
5174-ITUMV,Male,No,Yes,Yes,521
4109-CYRBD,Male,Yes,Yes,No,522
0913-XWSCN,Male,No,Yes,Yes,523
6825-UYPFK,Female,No,No,No,524
8397-MVTAZ,Male,No,Yes,No,525
0750-EBAIU,Male,No,No,No,526
8606-CIQUL,Male,Yes,Yes,Yes,527
3571-DPYUH,Male,No,Yes,Yes,528
7601-GNDYK,Male,No,Yes,Yes,529
0356-OBMAC,Female,Yes,No,No,530
8067-NIOYM,Female,No,Yes,Yes,531
1403-GYAFU,Male,No,Yes,Yes,532
4234-XTNEA,Male,No,No,No,533
1297-VQDRP,Male,Yes,Yes,Yes,534
9282-IZGQK,Female,No,No,No,535
5348-CAGXB,Male,No,No,No,536
0621-HJWXJ,Female,No,Yes,No,537
5844-QVTAT,Female,No,Yes,Yes,538
8905-IAZPF,Female,No,Yes,No,539
5394-MEITZ,Female,No,Yes,Yes,540
6859-QNXIQ,Female,No,Yes,Yes,541
2782-LFZVW,Female,No,No,No,542
2866-IKBTM,Female,No,No,No,543
1342-JPNKI,Male,No,No,No,544
2817-NTQDO,Male,No,No,No,545
7129-AZJDE,Male,No,Yes,Yes,546
6986-IJDHX,Male,No,Yes,Yes,547
2560-PPCHE,Female,No,No,No,548
4676-MQUEA,Male,Yes,Yes,No,549
8138-EALND,Male,No,No,No,550
3580-HYCSP,Male,No,Yes,Yes,551
1352-HNSAW,Female,No,Yes,Yes,552
2075-PUEPR,Male,No,Yes,Yes,553
1982-FEBTD,Female,No,Yes,Yes,554
5301-GAUUY,Male,No,No,No,555
5791-KAJFD,Female,No,Yes,Yes,556
2654-VBVPB,Female,No,No,No,557
1154-HYWWO,Male,No,No,No,558
2501-XWWTZ,Male,No,No,No,559
3716-UVSPD,Male,No,No,No,560
6815-ABQFQ,Male,No,Yes,No,561
7343-EOBEU,Male,No,Yes,No,562
3701-SFMUH,Male,No,Yes,Yes,563
6103-LIANB,Male,No,Yes,Yes,564
7319-VENRZ,Male,No,No,No,565
5846-NEQVZ,Male,No,Yes,Yes,566
6967-QIQRV,Male,No,Yes,Yes,567
5781-RFZRP,Male,No,Yes,No,568
0939-YAPAF,Female,No,No,No,569
0308-IVGOK,Female,No,No,No,570
7293-LSCDV,Female,No,Yes,Yes,571
7025-WCBNE,Male,Yes,No,No,572
5756-JYOJT,Female,No,No,No,573
4710-FDUIZ,Male,No,Yes,No,574
6030-REHUX,Female,Yes,Yes,No,575
9548-LIGTA,Male,No,Yes,No,576
5150-LJNSR,Male,No,Yes,Yes,577
8270-RKSAP,Male,No,No,No,578
6522-YRBXD,Male,Yes,Yes,No,579
2640-LYMOV,Male,No,No,No,580
1218-VKFPE,Female,No,Yes,Yes,581
3627-FHKBK,Female,No,No,No,582
2865-TCHJW,Female,Yes,No,No,583
1423-BMPBQ,Female,No,Yes,Yes,584
2393-DIVAI,Female,No,No,No,585
5192-EBGOV,Female,Yes,No,No,586
4568-KNYWR,Male,No,No,No,587
8752-IMQOS,Male,No,Yes,Yes,588
0742-LAFQK,Male,No,Yes,No,589
0795-LAFGP,Male,No,Yes,Yes,590
0619-OLYUR,Male,No,Yes,No,591
5512-IDZEI,Male,No,Yes,Yes,592
0459-SPZHJ,Male,No,Yes,Yes,593
0215-BQKGS,Male,No,No,No,594
9244-ZVAPM,Male,No,No,No,595
0719-SYFRB,Female,No,No,No,596
8208-EUMTE,Male,No,No,No,597
5172-MIGPM,Male,No,No,No,598
1710-RCXUS,Male,No,Yes,No,599
0374-FIUCA,Male,No,Yes,No,600
5839-SUYVZ,Male,No,No,No,601
5173-ZXXXL,Male,No,No,No,602
1096-ADRUX,Female,No,Yes,Yes,603
2001-MCUUW,Male,No,No,No,604
2731-GJRDG,Female,No,No,No,605
4723-BEGSG,Male,No,Yes,No,606
6516-NKQBO,Male,No,Yes,Yes,607
8672-OAUPW,Male,No,No,Yes,608
8207-DMRVL,Male,No,Yes,Yes,609
3419-SNJJD,Female,Yes,Yes,No,610
6543-CPZMK,Male,No,Yes,Yes,611
4765-OXPPD,Female,No,Yes,Yes,612
2804-ETQDK,Male,No,No,Yes,613
6689-VRRTK,Female,Yes,No,No,614
7138-GIRSH,Male,No,No,No,615
9396-ZSFLL,Female,No,No,No,616
6464-KEXXH,Male,No,No,No,617
7134-MJPDY,Female,Yes,No,No,618
5240-CAOYT,Female,No,No,No,619
4059-IIEBK,Female,No,No,No,620
4881-JVQOD,Male,Yes,Yes,Yes,621
0516-UXRMT,Female,No,No,No,622
4851-BQDNX,Male,No,Yes,Yes,623
5148-HKFIR,Female,No,No,No,624
1009-IRMNA,Female,No,No,No,625
3003-CMDUU,Female,No,Yes,No,626
5016-IBERQ,Male,No,Yes,No,627
6797-UCJHZ,Female,Yes,Yes,No,628
2469-DTSGX,Female,Yes,No,No,629
4554-YGZIH,Male,Yes,Yes,No,630
5099-BAILX,Male,Yes,Yes,Yes,631
9931-KGHOA,Female,No,Yes,No,632
