customerID,Contract,PaperlessBilling,PaymentMethod,tenure_group,MonthlyChargeBand,TotalChargeBand,contract_key
5256-SKJGO,Two year,Yes,Electronic check,61-72 Months,Medium,Q3,115
3071-VBYPO,Month-to-month,No,Electronic check,0-12 Months,High,Q1,116
9560-BBZXK,Two year,No,Bank transfer (automatic),25-48 Months,Low,Q2,117
5299-RULOA,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q2,118
8402-OOOHJ,Two year,No,Mailed check,25-48 Months,Low,Q2,119
9445-ZUEQE,Month-to-month,Yes,Credit card (automatic),25-48 Months,High,Q3,120
1091-SOZGA,One year,Yes,Credit card (automatic),49-60 Months,Premium,Q4,121
2928-HLDBA,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,122
0404-SWRVG,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,123
6497-TILVL,Month-to-month,No,Mailed check,0-12 Months,Medium,Q1,124
7219-TLZHO,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,125
4622-YNKIJ,Two year,Yes,Electronic check,25-48 Months,High,Q3,126
4412-YLTKF,Month-to-month,Yes,Electronic check,25-48 Months,High,Q3,127
6734-PSBAW,Two year,Yes,Bank transfer (automatic),61-72 Months,Low,Q3,128
3930-ZGWVE,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,129
2639-UGMAZ,One year,Yes,Electronic check,61-72 Months,Medium,Q4,130
2876-GZYZC,Month-to-month,Yes,Electronic check,13-24 Months,High,Q2,131
6207-WIOLX,Month-to-month,Yes,Credit card (automatic),25-48 Months,Medium,Q3,132
8587-XYZSF,Two year,No,Bank transfer (automatic),61-72 Months,Medium,Q3,133
3091-FYHKI,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,134
2372-HWUHI,Month-to-month,No,Electronic check,0-12 Months,Medium,Q1,135
7799-LGRDP,Two year,Yes,Credit card (automatic),25-48 Months,Low,Q2,136
7850-VWJUU,Month-to-month,Yes,Bank transfer (automatic),13-24 Months,High,Q3,137
3774-VBNXY,Two year,No,Mailed check,61-72 Months,Low,Q2,138
6217-KDYWC,Two year,Yes,Mailed check,49-60 Months,Low,Q2,139
0390-DCFDQ,Month-to-month,Yes,Mailed check,0-12 Months,High,Q1,140
3146-MSEGF,Two year,Yes,Credit card (automatic),61-72 Months,High,Q4,141
4080-OGPJL,Month-to-month,No,Electronic check,0-12 Months,High,Q2,142
1095-WGNGG,Two year,Yes,Bank transfer (automatic),61-72 Months,Premium,Q4,143
2636-SJDOU,One year,Yes,Credit card (automatic),61-72 Months,High,Q4,144
1131-QQZEB,Two year,No,Bank transfer (automatic),61-72 Months,Low,Q3,145
5716-EZXZN,Two year,Yes,Credit card (automatic),61-72 Months,Premium,Q4,146
6837-BJYDQ,One year,No,Mailed check,0-12 Months,Low,Q1,147
2135-RXIHG,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,148
6440-DKQGE,One year,No,Credit card (automatic),25-48 Months,Medium,Q3,149
3466-BYAVD,Month-to-month,Yes,Mailed check,13-24 Months,Medium,Q2,150
3780-YVMFA,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q2,151
3874-EQOEP,Month-to-month,No,Mailed check,0-12 Months,Premium,Q2,152
1679-JRFBR,One year,Yes,Credit card (automatic),61-72 Months,Premium,Q4,153
9073-ZZIAY,Two year,No,Electronic check,61-72 Months,High,Q4,154
3077-RSNTJ,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,155
6551-GNYDG,Month-to-month,Yes,Bank transfer (automatic),13-24 Months,High,Q2,156
9167-APMXZ,Month-to-month,Yes,Bank transfer (automatic),13-24 Months,High,Q3,157
2749-CTKAJ,One year,No,Mailed check,13-24 Months,Low,Q2,158
6371-NZYEG,Two year,No,Mailed check,13-24 Months,Medium,Q2,159
7554-NEWDD,Two year,No,Bank transfer (automatic),0-12 Months,Low,Q1,160
8992-VONJD,Month-to-month,Yes,Electronic check,13-24 Months,Medium,Q2,161
0867-MKZVY,Month-to-month,No,Electronic check,13-24 Months,High,Q3,162
4482-EWFMI,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,163
4648-YPBTM,Two year,Yes,Bank transfer (automatic),49-60 Months,High,Q4,164
2907-ILJBN,One year,No,Mailed check,0-12 Months,Low,Q1,165
6345-FZOQH,Two year,No,Mailed check,61-72 Months,Low,Q2,166
3376-BMGFE,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,High,Q1,167
5997-OPVFA,Two year,Yes,Bank transfer (automatic),61-72 Months,High,Q4,168
3445-HXXGF,Month-to-month,Yes,Electronic check,49-60 Months,Medium,Q3,169
1159-WFSGR,Month-to-month,No,Electronic check,13-24 Months,Low,Q1,170
7654-YWJUF,One year,Yes,Bank transfer (automatic),25-48 Months,High,Q3,171
1875-QIVME,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q1,172
6727-IOTLZ,Two year,No,Mailed check,13-24 Months,High,Q2,173
0691-JVSYA,One year,Yes,Bank transfer (automatic),49-60 Months,Premium,Q4,174
5918-VUKWP,One year,No,Bank transfer (automatic),25-48 Months,Low,Q2,175
1744-JHKYS,Month-to-month,No,Electronic check,25-48 Months,Low,Q2,176
2656-FMOKZ,Month-to-month,Yes,Mailed check,13-24 Months,High,Q2,177
2070-FNEXE,Month-to-month,No,Bank transfer (automatic),0-12 Months,High,Q2,178
5947-SGKCL,Month-to-month,Yes,Bank transfer (automatic),13-24 Months,Premium,Q3,179
3712-PKXZA,One year,Yes,Credit card (automatic),61-72 Months,Low,Q2,180
6317-YPKDH,Month-to-month,No,Bank transfer (automatic),0-12 Months,Low,Q1,181
6582-OIVSP,Month-to-month,No,Mailed check,0-12 Months,Medium,Q1,182
9367-WXLCH,Month-to-month,No,Bank transfer (automatic),0-12 Months,High,Q2,183
5524-KHNJP,One year,No,Credit card (automatic),25-48 Months,High,Q3,184
1918-ZBFQJ,Month-to-month,Yes,Electronic check,13-24 Months,High,Q2,185
1024-GUALD,Month-to-month,Yes,Electronic check,0-12 Months,Low,Q1,186
4827-USJHP,Month-to-month,Yes,Mailed check,13-24 Months,Medium,Q2,187
8167-GJLRN,Month-to-month,No,Electronic check,0-12 Months,Low,Q1,188
0956-SYCWG,One year,No,Electronic check,13-24 Months,Low,Q1,189
8017-UVSZU,Month-to-month,No,Credit card (automatic),25-48 Months,Medium,Q3,190
7100-FQPRV,One year,Yes,Credit card (automatic),25-48 Months,High,Q3,191
2472-OVKUP,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q2,192
2984-RGEYA,Two year,No,Bank transfer (automatic),61-72 Months,Low,Q2,193
9680-NIAUV,Two year,No,Credit card (automatic),61-72 Months,Premium,Q4,194
2146-EGVDT,Two year,No,Credit card (automatic),49-60 Months,Low,Q2,195
2604-IJPDU,Month-to-month,Yes,Electronic check,13-24 Months,Premium,Q3,196
9178-JHUVJ,Two year,Yes,Bank transfer (automatic),13-24 Months,Low,Q2,197
6168-YBYNP,Month-to-month,Yes,Electronic check,49-60 Months,Premium,Q4,198
7255-SSFBC,Two year,Yes,Bank transfer (automatic),61-72 Months,Premium,Q4,199
3645-DEYGF,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,200
9323-HGFWY,One year,Yes,Credit card (automatic),25-48 Months,Premium,Q3,201
8544-GOQSH,Month-to-month,Yes,Credit card (automatic),13-24 Months,High,Q2,202
3363-DTIVD,Two year,No,Electronic check,61-72 Months,Premium,Q4,203
7018-WBJNK,Month-to-month,Yes,Credit card (automatic),13-24 Months,High,Q2,204
9142-KZXOP,Month-to-month,No,Credit card (automatic),25-48 Months,Medium,Q3,205
7674-YTAFD,One year,Yes,Bank transfer (automatic),25-48 Months,High,Q3,206
6348-SNFUS,Two year,Yes,Credit card (automatic),61-72 Months,Medium,Q4,207
1285-OKIPP,Month-to-month,No,Electronic check,0-12 Months,High,Q1,208
7825-ECJRF,Month-to-month,Yes,Electronic check,13-24 Months,Premium,Q3,209
1347-KTTTA,One year,Yes,Credit card (automatic),61-72 Months,Premium,Q4,210
7841-TZDMQ,Month-to-month,Yes,Credit card (automatic),0-12 Months,Medium,Q1,211
4195-NZGTA,Month-to-month,No,Electronic check,0-12 Months,Low,Q1,212
7157-SMCFK,Two year,No,Mailed check,61-72 Months,Low,Q2,213
4709-LKHYG,One year,No,Electronic check,25-48 Months,Low,Q2,214
2504-DSHIH,Month-to-month,No,Electronic check,13-24 Months,High,Q3,215
0699-NDKJM,Month-to-month,Yes,Bank transfer (automatic),49-60 Months,Medium,Q3,216
9286-BHDQG,Two year,No,Credit card (automatic),61-72 Months,Medium,Q3,217
0230-WEQUW,Two year,Yes,Bank transfer (automatic),61-72 Months,Medium,Q4,218
2040-LDIWQ,Two year,Yes,Bank transfer (automatic),61-72 Months,High,Q4,219
6496-JDSSB,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,High,Q2,220
9408-SSNVZ,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,221
4443-EMBNA,Two year,No,Bank transfer (automatic),61-72 Months,Low,Q3,222
6469-MRVET,One year,Yes,Electronic check,0-12 Months,Low,Q1,223
0742-MOABM,Month-to-month,No,Mailed check,0-12 Months,Medium,Q1,224
5961-VUSRV,One year,Yes,Bank transfer (automatic),0-12 Months,Low,Q1,225
6778-JFCMK,One year,Yes,Mailed check,13-24 Months,Medium,Q2,226
6341-JVQGF,One year,Yes,Mailed check,25-48 Months,High,Q3,227
2232-DMLXU,Month-to-month,No,Mailed check,0-12 Months,Medium,Q1,228
4811-JBUVU,Month-to-month,Yes,Credit card (automatic),25-48 Months,High,Q3,229
0945-TSONX,Two year,Yes,Credit card (automatic),25-48 Months,High,Q4,230
2651-ZCBXV,Two year,Yes,Credit card (automatic),49-60 Months,Premium,Q4,231
3316-UWXUY,Month-to-month,Yes,Credit card (automatic),49-60 Months,Premium,Q4,232
8937-RDTHP,Month-to-month,Yes,Mailed check,0-12 Months,High,Q1,233
7083-MIOPC,Two year,No,Credit card (automatic),61-72 Months,Low,Q3,234
1984-GPTEH,Month-to-month,No,Electronic check,25-48 Months,Low,Q2,235
1251-KRREG,Month-to-month,Yes,Mailed check,0-12 Months,Medium,Q1,236
0621-JFHOL,Two year,Yes,Mailed check,0-12 Months,Low,Q1,237
9903-LYSAB,Month-to-month,Yes,Electronic check,13-24 Months,High,Q2,238
0094-OIFMO,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q2,239
9227-UAQFT,Two year,No,Mailed check,13-24 Months,Low,Q1,240
7301-ABVAD,Two year,No,Bank transfer (automatic),61-72 Months,High,Q4,241
6614-FHDBO,Two year,No,Bank transfer (automatic),61-72 Months,Premium,Q4,242
7576-ASEJU,One year,Yes,Credit card (automatic),25-48 Months,High,Q3,243
9058-HRZSV,Month-to-month,No,Electronic check,61-72 Months,Premium,Q4,244
4522-AKYLR,Month-to-month,Yes,Electronic check,13-24 Months,Medium,Q2,245
0221-WMXNQ,Month-to-month,No,Electronic check,0-12 Months,High,Q1,246
0303-UNCIP,One year,No,Mailed check,25-48 Months,Medium,Q3,247
9947-OTFQU,Month-to-month,Yes,Electronic check,13-24 Months,High,Q2,248
0322-YINQP,Month-to-month,Yes,Mailed check,0-12 Months,Medium,Q1,249
0959-WHOKV,One year,Yes,Electronic check,25-48 Months,Premium,Q4,250
4075-JFPGR,One year,Yes,Electronic check,49-60 Months,Premium,Q4,251
4629-NRXKX,Month-to-month,No,Electronic check,0-12 Months,High,Q1,252
9514-JDSKI,Month-to-month,No,Electronic check,0-12 Months,Medium,Q1,253
3282-ZISZV,One year,No,Credit card (automatic),25-48 Months,High,Q3,254
3675-YDUPJ,Month-to-month,Yes,Mailed check,0-12 Months,Low,Q1,255
4111-BNXIF,Two year,Yes,Electronic check,61-72 Months,Medium,Q4,256
7017-VFHAY,Two year,No,Credit card (automatic),61-72 Months,Premium,Q4,257
6655-LHBYW,One year,No,Credit card (automatic),49-60 Months,Premium,Q4,258
4959-JOSRX,Month-to-month,Yes,Credit card (automatic),0-12 Months,Medium,Q1,259
5046-NUHWD,Month-to-month,Yes,Electronic check,25-48 Months,Medium,Q2,260
7273-TEFQD,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,261
3606-TWKGI,Month-to-month,Yes,Electronic check,13-24 Months,Premium,Q2,262
7529-ZDFXI,Month-to-month,Yes,Electronic check,49-60 Months,High,Q4,263
7605-BDWDC,Two year,Yes,Bank transfer (automatic),25-48 Months,Medium,Q3,264
1950-KSVVJ,One year,No,Mailed check,25-48 Months,Premium,Q4,265
0123-CRBRT,Two year,No,Mailed check,61-72 Months,High,Q4,266
6292-TOSSS,Two year,No,Bank transfer (automatic),49-60 Months,Low,Q2,267
3197-ARFOY,Month-to-month,Yes,Mailed check,13-24 Months,Premium,Q3,268
6323-AYBRX,Two year,No,Mailed check,49-60 Months,Low,Q2,269
7014-ZZXAW,Two year,Yes,Credit card (automatic),61-72 Months,Low,Q3,270
4385-GZQXV,Month-to-month,Yes,Electronic check,13-24 Months,Premium,Q3,271
7633-MVPUY,Two year,Yes,Electronic check,49-60 Months,Medium,Q3,272
6366-ZGQGL,Month-to-month,No,Bank transfer (automatic),0-12 Months,Low,Q1,273
4716-HHKQH,Month-to-month,No,Electronic check,13-24 Months,Premium,Q3,274
5940-AHUHD,Month-to-month,No,Mailed check,0-12 Months,High,Q1,275
6432-TWQLB,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,276
4484-GLZOU,Month-to-month,Yes,Electronic check,49-60 Months,Premium,Q4,277
3179-GBRWV,Month-to-month,Yes,Bank transfer (automatic),13-24 Months,Medium,Q2,278
8645-KWHJO,Month-to-month,Yes,Electronic check,13-24 Months,Medium,Q2,279
4130-MZLCC,Month-to-month,No,Bank transfer (automatic),0-12 Months,Medium,Q1,280
0314-TKOSI,Month-to-month,No,Mailed check,0-12 Months,Medium,Q1,281
8229-MYEJZ,Month-to-month,No,Electronic check,0-12 Months,Medium,Q2,282
2080-SRCDE,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,283
9577-WJVCQ,Month-to-month,No,Mailed check,61-72 Months,Medium,Q3,284
9512-UIBFX,Month-to-month,No,Mailed check,13-24 Months,Premium,Q3,285
6202-DYYFX,One year,Yes,Credit card (automatic),13-24 Months,High,Q3,286
3808-HFKDE,Month-to-month,Yes,Electronic check,13-24 Months,Medium,Q2,287
5583-SXDAG,Month-to-month,No,Electronic check,0-12 Months,Medium,Q1,288
3488-PGMQJ,Month-to-month,Yes,Electronic check,0-12 Months,High,Q2,289
3580-REOAC,Month-to-month,Yes,Credit card (automatic),0-12 Months,Medium,Q2,290
7534-BFESC,Month-to-month,Yes,Electronic check,13-24 Months,High,Q3,291
3727-OWVYD,One year,No,Mailed check,25-48 Months,Medium,Q3,292
2294-SALNE,One year,No,Mailed check,13-24 Months,High,Q3,293
4847-TAJYI,Month-to-month,Yes,Electronic check,0-12 Months,High,Q2,294
1563-IWQEX,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,295
8203-XJZRC,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,296
6556-DBKZF,Two year,No,Electronic check,61-72 Months,High,Q4,297
6851-WEFYX,Month-to-month,Yes,Electronic check,25-48 Months,Premium,Q3,298
2985-JUUBZ,Month-to-month,Yes,Electronic check,25-48 Months,High,Q3,299
6390-DSAZX,Month-to-month,Yes,Mailed check,0-12 Months,High,Q1,300
0895-LMRSF,One year,Yes,Bank transfer (automatic),13-24 Months,Medium,Q3,301
8098-LLAZX,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q1,302
8266-VBFQL,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q1,303
8181-YHCMF,Two year,No,Credit card (automatic),61-72 Months,Medium,Q4,304
2240-HSJQD,Month-to-month,Yes,Mailed check,25-48 Months,High,Q3,305
1248-DYXUB,Two year,No,Mailed check,49-60 Months,Low,Q2,306
0265-EDXBD,Month-to-month,Yes,Electronic check,25-48 Months,High,Q3,307
4115-BNPJY,Two year,No,Mailed check,25-48 Months,High,Q3,308
3167-SNQPL,Month-to-month,No,Electronic check,25-48 Months,Premium,Q3,309
4091-TVOCN,One year,Yes,Credit card (automatic),25-48 Months,High,Q3,310
1098-TDVUQ,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,Low,Q1,311
7277-OZCGZ,Month-to-month,Yes,Electronic check,13-24 Months,High,Q3,312
1557-EMYVT,Two year,No,Credit card (automatic),25-48 Months,Premium,Q4,313
2799-ARNLO,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,314
7563-BIUPC,Month-to-month,Yes,Electronic check,0-12 Months,High,Q2,315
5027-YOCXN,One year,No,Credit card (automatic),49-60 Months,Premium,Q4,316
3973-SKMLN,Two year,Yes,Credit card (automatic),61-72 Months,Low,Q2,317
2321-OMBXY,One year,No,Credit card (automatic),25-48 Months,High,Q3,318
2840-XANRC,Month-to-month,Yes,Electronic check,13-24 Months,Premium,Q3,319
6745-JEFZB,Month-to-month,Yes,Credit card (automatic),25-48 Months,Premium,Q3,320
5020-ZSTTY,One year,No,Bank transfer (automatic),49-60 Months,High,Q4,321
9880-TDQAC,Two year,Yes,Electronic check,61-72 Months,Medium,Q4,322
8705-WZCYL,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,323
7102-JJVTX,One year,No,Mailed check,0-12 Months,Medium,Q2,324
8626-PTQGE,Two year,Yes,Bank transfer (automatic),61-72 Months,Medium,Q4,325
4983-CLMLV,Month-to-month,Yes,Credit card (automatic),49-60 Months,Premium,Q4,326
5701-YVSVF,Month-to-month,Yes,Electronic check,0-12 Months,High,Q2,327
5804-LEPIM,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,328
5697-GOMBF,Month-to-month,Yes,Electronic check,25-48 Months,Medium,Q2,329
2739-CACDQ,Month-to-month,Yes,Credit card (automatic),13-24 Months,High,Q3,330
9385-EHGDO,Two year,Yes,Mailed check,25-48 Months,Low,Q2,331
9498-FIMXL,One year,Yes,Mailed check,0-12 Months,Low,Q1,332
2379-GYFLQ,One year,Yes,Credit card (automatic),25-48 Months,Premium,Q4,333
