customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,HasStreaming,HasSecurityBundle,ServiceCount,service_key
6728-DKUCO,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,7,107
9750-BOOHV,No,No phone service,DSL,Yes,No,No,No,No,No,No,Yes,2,108
8597-CWYHH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,5,109
2848-YXSMW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,110
0486-HECZI,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes,6,111
4549-ZDQYY,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,5,112
5712-AHQNN,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,No,5,113
4846-WHAFZ,Yes,Yes,Fiber optic,No,No,No,No,No,No,No,No,3,114
5256-SKJGO,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,5,115
3071-VBYPO,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes,5,116
9560-BBZXK,No,No phone service,DSL,Yes,No,No,No,No,No,No,Yes,2,117
5299-RULOA,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes,6,118
8402-OOOHJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,119
9445-ZUEQE,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,No,Yes,5,120
1091-SOZGA,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,6,121
2928-HLDBA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,122
0404-SWRVG,Yes,Yes,Fiber optic,No,No,No,No,No,No,No,No,3,123
6497-TILVL,Yes,No,DSL,Yes,No,No,No,No,No,No,Yes,3,124
7219-TLZHO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,125
4622-YNKIJ,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Yes,Yes,5,126
4412-YLTKF,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,No,No,4,127
6734-PSBAW,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,2,128
3930-ZGWVE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,129
2639-UGMAZ,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Yes,5,130
2876-GZYZC,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,No,4,131
6207-WIOLX,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,6,132
8587-XYZSF,Yes,No,DSL,No,No,No,Yes,No,No,No,Yes,3,133
3091-FYHKI,No,No phone service,DSL,No,No,No,No,No,Yes,Yes,No,2,134
2372-HWUHI,Yes,No,DSL,No,No,No,No,No,No,No,No,2,135
7799-LGRDP,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,2,136
7850-VWJUU,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Yes,3,137
3774-VBNXY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,138
6217-KDYWC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,139
0390-DCFDQ,Yes,No,Fiber optic,No,No,No,No,No,No,No,No,2,140
3146-MSEGF,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,141
4080-OGPJL,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,6,142
1095-WGNGG,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,6,143
2636-SJDOU,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,No,Yes,5,144
1131-QQZEB,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,2,145
5716-EZXZN,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,7,146
6837-BJYDQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,147
2135-RXIHG,Yes,No,DSL,No,No,No,No,No,No,No,No,2,148
6440-DKQGE,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Yes,No,5,149
3466-BYAVD,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Yes,6,150
3780-YVMFA,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Yes,Yes,5,151
3874-EQOEP,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,5,152
1679-JRFBR,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,8,153
9073-ZZIAY,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,154
3077-RSNTJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,155
6551-GNYDG,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,No,3,156
9167-APMXZ,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,No,4,157
2749-CTKAJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,158
6371-NZYEG,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Yes,Yes,5,159
7554-NEWDD,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,2,160
8992-VONJD,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,4,161
0867-MKZVY,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,No,Yes,4,162
4482-EWFMI,Yes,No,Fiber optic,No,No,No,No,No,No,No,No,2,163
4648-YPBTM,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Yes,7,164
2907-ILJBN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,165
6345-FZOQH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,166
3376-BMGFE,Yes,No,Fiber optic,No,No,No,No,No,No,No,No,2,167
5997-OPVFA,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,168
3445-HXXGF,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Yes,No,4,169
1159-WFSGR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,170
7654-YWJUF,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,No,Yes,5,171
1875-QIVME,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,7,172
6727-IOTLZ,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,173
0691-JVSYA,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,5,174
5918-VUKWP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,175
1744-JHKYS,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,2,176
2656-FMOKZ,Yes,Yes,Fiber optic,No,No,No,No,No,No,No,No,3,177
2070-FNEXE,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Yes,3,178
5947-SGKCL,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No,7,179
3712-PKXZA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,180
6317-YPKDH,No,No phone service,DSL,No,Yes,No,No,No,No,No,No,2,181
6582-OIVSP,Yes,No,DSL,No,No,No,No,No,No,No,No,2,182
9367-WXLCH,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,No,4,183
5524-KHNJP,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,6,184
1918-ZBFQJ,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,No,No,4,185
1024-GUALD,No,No phone service,DSL,No,No,No,No,No,No,No,No,1,186
4827-USJHP,Yes,No,DSL,No,Yes,No,No,No,No,No,No,3,187
8167-GJLRN,No,No phone service,DSL,No,No,No,Yes,No,No,No,Yes,2,188
0956-SYCWG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,189
8017-UVSZU,Yes,Yes,DSL,No,Yes,No,No,No,No,No,No,4,190
7100-FQPRV,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,6,191
2472-OVKUP,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,No,5,192
2984-RGEYA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,193
9680-NIAUV,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,8,194
2146-EGVDT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,195
2604-IJPDU,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,6,196
9178-JHUVJ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,2,197
6168-YBYNP,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,198
7255-SSFBC,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,199
3645-DEYGF,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,200
9323-HGFWY,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,6,201
8544-GOQSH,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,No,Yes,4,202
3363-DTIVD,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,7,203
7018-WBJNK,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,No,3,204
9142-KZXOP,Yes,No,Fiber optic,No,No,No,No,No,No,No,No,2,205
7674-YTAFD,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,No,Yes,4,206
6348-SNFUS,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,6,207
1285-OKIPP,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,No,3,208
7825-ECJRF,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,7,209
1347-KTTTA,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,210
7841-TZDMQ,Yes,No,DSL,No,No,No,No,No,No,No,No,2,211
4195-NZGTA,No,No phone service,DSL,No,No,No,No,No,No,No,No,1,212
7157-SMCFK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,213
4709-LKHYG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,214
2504-DSHIH,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,No,4,215
0699-NDKJM,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,6,216
9286-BHDQG,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,5,217
0230-WEQUW,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,6,218
2040-LDIWQ,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,219
6496-JDSSB,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,No,3,220
9408-SSNVZ,Yes,No,Fiber optic,No,No,No,No,No,No,No,No,2,221
4443-EMBNA,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,2,222
6469-MRVET,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,223
0742-MOABM,Yes,No,DSL,No,No,No,Yes,No,No,No,Yes,3,224
5961-VUSRV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,225
6778-JFCMK,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes,4,226
6341-JVQGF,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,7,227
2232-DMLXU,Yes,No,DSL,No,No,No,No,Yes,No,Yes,No,3,228
4811-JBUVU,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Yes,Yes,5,229
0945-TSONX,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8,230
2651-ZCBXV,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8,231
3316-UWXUY,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,6,232
8937-RDTHP,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,4,233
7083-MIOPC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,234
1984-GPTEH,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,2,235
1251-KRREG,Yes,Yes,DSL,No,Yes,No,No,No,No,No,No,4,236
0621-JFHOL,No,No phone service,DSL,No,No,No,Yes,No,No,No,Yes,2,237
9903-LYSAB,Yes,Yes,Fiber optic,No,No,No,No,No,No,No,No,3,238
0094-OIFMO,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,5,239
9227-UAQFT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,240
7301-ABVAD,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,241
6614-FHDBO,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,242
7576-ASEJU,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes,6,243
9058-HRZSV,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,6,244
4522-AKYLR,Yes,No,DSL,No,Yes,Yes,No,No,No,No,No,4,245
0221-WMXNQ,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Yes,3,246
0303-UNCIP,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Yes,No,5,247
9947-OTFQU,Yes,No,Fiber optic,No,Yes,No,No,No,No,No,No,3,248
0322-YINQP,Yes,No,DSL,Yes,No,No,No,No,No,No,Yes,3,249
0959-WHOKV,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,7,250
4075-JFPGR,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,Yes,6,251
4629-NRXKX,Yes,No,Fiber optic,No,No,No,No,No,No,No,No,2,252
9514-JDSKI,No,No phone service,DSL,No,Yes,No,No,Yes,No,Yes,No,3,253
3282-ZISZV,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,254
3675-YDUPJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,255
4111-BNXIF,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,256
7017-VFHAY,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,257
6655-LHBYW,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,258
4959-JOSRX,Yes,No,DSL,No,No,No,No,No,No,No,No,2,259
5046-NUHWD,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Yes,Yes,4,260
7273-TEFQD,No,No phone service,DSL,No,No,Yes,No,No,Yes,Yes,No,3,261
3606-TWKGI,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No,7,262
7529-ZDFXI,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes,No,5,263
7605-BDWDC,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,5,264
1950-KSVVJ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,265
0123-CRBRT,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,266
6292-TOSSS,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,2,267
3197-ARFOY,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,7,268
6323-AYBRX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,269
7014-ZZXAW,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,2,270
4385-GZQXV,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Yes,5,271
7633-MVPUY,Yes,No,DSL,Yes,Yes,No,Yes,No,No,No,Yes,5,272
