fact_key,customerID,customer_key,service_key,contract_key,tenure,MonthlyCharges,TotalCharges,AvgRevenuePerMonth,Churn,ChurnFlag
30,8773-HHUOZ,30,30,30,17,64.7,1093.1,64.3,Yes,1
31,3841-NFECX,31,31,31,71,96.35,6766.95,95.30915492957746,No,0
32,4929-XIHVW,32,32,32,2,95.5,181.65,90.825,No,0
33,6827-IEAUQ,33,33,33,27,66.15,1874.45,69.42407407407407,No,0
34,7310-EGVHZ,34,34,34,1,20.2,20.2,20.2,No,0
35,3413-BMNZE,35,35,35,1,45.25,45.25,45.25,No,0
36,6234-RAAPL,36,36,36,72,99.9,7251.7,100.71805555555555,No,0
37,6047-YHPVI,37,37,37,5,69.7,316.9,63.379999999999995,Yes,1
38,6572-ADKRS,38,38,38,46,74.8,3548.3,77.13695652173914,No,0
39,5380-WJKOV,39,39,39,34,106.35,3549.25,104.38970588235294,Yes,1
40,8168-UQWWF,40,40,40,11,97.85,1105.4,100.4909090909091,Yes,1
41,8865-TNMNX,41,41,41,10,49.55,475.7,47.57,No,0
42,9489-DEDVP,42,42,42,70,69.2,4872.35,69.605,No,0
43,9867-JCZSP,43,43,43,17,20.75,418.25,24.602941176470587,No,0
44,4671-VJLCL,44,44,44,63,79.85,4861.45,77.16587301587302,No,0
45,4080-IIARD,45,45,45,13,76.2,981.45,75.49615384615385,No,0
46,3714-NTNFO,46,46,46,49,84.5,3906.7,79.72857142857143,No,0
47,5948-UJZLF,47,47,47,2,49.25,97.0,48.5,No,0
48,7760-OYPDY,48,48,48,2,80.65,144.15,72.075,Yes,1
49,7639-LIAYI,49,49,49,52,79.75,4217.8,81.11153846153846,No,0
50,2954-PIBKO,50,50,50,69,64.15,4254.1,61.6536231884058,No,0
51,8012-SOUDQ,51,51,51,43,90.25,3838.75,89.27325581395348,No,0
52,9420-LOJKX,52,52,52,15,99.1,1426.4,95.09333333333333,Yes,1
53,6575-SUVOI,53,53,53,25,69.5,1752.65,70.10600000000001,No,0
54,7495-OOKFY,54,54,54,8,80.65,633.3,79.1625,Yes,1
55,4667-QONEA,55,55,55,60,74.85,4456.35,74.27250000000001,No,0
56,1658-BYGOY,56,56,56,18,95.45,1752.55,97.36388888888888,Yes,1
57,8769-KKTPH,57,57,57,63,99.65,6311.2,100.17777777777778,No,0
58,5067-XJQFU,58,58,58,66,108.45,7076.35,107.21742424242424,No,0
59,3957-SQXML,59,59,59,34,24.95,894.3,26.302941176470586,No,0
60,5954-BDFSG,60,60,60,72,107.5,7853.7,109.07916666666667,No,0
61,0434-CSFON,61,61,61,47,100.5,4707.1,100.15106382978725,No,0
62,1215-FIGMP,62,62,62,60,89.9,5450.7,90.845,No,0
63,0526-SXDJP,63,63,63,72,42.1,2962.0,41.138888888888886,No,0
64,0557-ASKVU,64,64,64,18,54.4,957.1,53.172222222222224,No,0
65,5698-BQJOH,65,65,65,9,94.4,857.25,95.25,Yes,1
66,5122-CYFXA,66,66,66,3,75.3,244.1,81.36666666666666,No,0
67,8627-ZYGSZ,67,67,67,47,78.9,3650.35,77.66702127659575,No,0
68,3410-YOQBQ,68,68,68,31,79.2,2497.2,80.55483870967741,No,0
69,3170-NMYVV,69,69,69,50,20.15,930.9,18.618,No,0
70,7410-OIEDU,70,70,70,10,79.85,887.35,88.735,No,0
71,2273-QCKXA,71,71,71,1,49.05,49.05,49.05,No,0
72,0731-EBJQB,72,72,72,52,20.4,1090.65,20.974038461538463,No,0
73,1891-QRQSA,73,73,73,64,111.6,7099.0,110.921875,No,0
74,8028-PNXHQ,74,74,74,62,24.25,1424.6,22.97741935483871,No,0
75,5630-AHZIL,75,75,75,3,64.5,177.4,59.13333333333333,No,0
76,2673-CXQEU,76,76,76,56,110.5,6139.5,109.63392857142857,No,0
77,6416-JNVRK,77,77,77,46,55.65,2688.85,58.45326086956521,No,0
78,5590-ZSKRV,78,78,78,8,54.65,482.25,60.28125,No,0
79,0191-ZHSKZ,79,79,79,30,74.75,2111.3,70.37666666666668,No,0
80,3887-PBQAO,80,80,80,45,25.9,1216.6,27.035555555555554,No,0
81,5919-TMRGD,81,81,81,1,79.35,79.35,79.35,Yes,1
82,8108-UXRQN,82,82,82,11,50.55,565.35,51.39545454545455,No,0
83,9191-MYQKX,83,83,83,7,75.15,496.9,70.98571428571428,Yes,1
84,9919-YLNNG,84,84,84,42,103.8,4327.5,103.03571428571429,No,0
85,0318-ZOPWS,85,85,85,49,20.15,973.35,19.864285714285714,No,0
86,4445-ZJNMU,86,86,86,9,99.3,918.75,102.08333333333333,No,0
87,4808-YNLEU,87,87,87,35,62.15,2215.45,63.29857142857142,No,0
88,1862-QRWPE,88,88,88,48,20.65,1057.0,22.020833333333332,No,0
89,2796-NNUFI,89,89,89,46,19.95,927.1,20.15434782608696,No,0
90,3016-KSVCP,90,90,90,29,33.75,1009.25,34.80172413793103,No,0
91,4767-HZZHQ,91,91,91,30,82.05,2570.2,85.67333333333333,No,0
92,2424-WVHPL,92,92,92,1,74.7,74.7,74.7,No,0
93,7233-PAHHL,93,93,93,66,84.0,5714.25,86.57954545454545,No,0
94,6067-NGCEU,94,94,94,65,111.05,7107.0,109.33846153846154,No,0
95,9848-JQJTX,95,95,95,72,100.9,7459.05,103.59791666666666,No,0
96,8637-XJIVR,96,96,96,12,78.95,927.35,77.27916666666667,Yes,1
97,9803-FTJCG,97,97,97,71,66.85,4748.7,66.8830985915493,No,0
98,0278-YXOOG,98,98,98,5,21.05,113.85,22.77,Yes,1
99,3212-KXOCR,99,99,99,52,21.0,1107.2,21.292307692307695,No,0
100,4598-XLKNJ,100,100,100,25,98.5,2514.5,100.58,Yes,1
101,6380-ARCEH,101,101,101,1,20.2,20.2,20.2,No,0
102,3679-XASPY,102,102,102,1,19.45,19.45,19.45,No,0
103,7123-WQUHX,103,103,103,38,95.0,3605.6,94.88421052631578,No,0
104,5386-THSLQ,104,104,104,66,45.55,3027.25,45.86742424242424,No,0
105,3192-NQECA,105,105,105,68,110.0,7611.85,111.93897058823529,Yes,1
106,6180-YBIQI,106,106,106,5,24.3,100.2,20.04,No,0
107,6728-DKUCO,107,107,107,72,104.15,7303.05,101.43125,No,0
108,9750-BOOHV,108,108,108,32,30.15,927.65,28.9890625,No,0
109,8597-CWYHH,109,109,109,43,94.35,3921.3,91.19302325581396,No,0
110,2848-YXSMW,110,110,110,72,19.4,1363.25,18.93402777777778,No,0
111,0486-HECZI,111,111,111,55,96.75,5238.9,95.25272727272727,Yes,1
112,4549-ZDQYY,112,112,112,52,57.95,3042.25,58.50480769230769,No,0
113,5712-AHQNN,113,113,113,43,91.65,3954.1,91.95581395348837,No,0
114,4846-WHAFZ,114,114,114,37,76.5,2868.15,77.51756756756757,Yes,1
115,5256-SKJGO,115,115,115,64,54.6,3423.5,53.4921875,No,0
116,3071-VBYPO,116,116,116,3,89.85,248.4,82.8,No,0
117,9560-BBZXK,117,117,117,36,31.05,1126.35,31.287499999999998,No,0
118,5299-RULOA,118,118,118,10,100.25,1064.65,106.465,Yes,1
119,8402-OOOHJ,119,119,119,41,20.65,835.15,20.36951219512195,No,0
120,9445-ZUEQE,120,120,120,27,85.2,2151.6,79.68888888888888,No,0
121,1091-SOZGA,121,121,121,56,99.8,5515.45,98.49017857142857,No,0
122,2928-HLDBA,122,122,122,6,20.7,112.75,18.791666666666668,No,0
123,0404-SWRVG,123,123,123,3,74.4,229.55,76.51666666666667,Yes,1
124,6497-TILVL,124,124,124,7,50.7,350.35,50.050000000000004,No,0
125,7219-TLZHO,125,125,125,4,20.85,62.9,15.725,No,0
126,4622-YNKIJ,126,126,126,33,88.95,3027.65,91.7469696969697,No,0
127,4412-YLTKF,127,127,127,27,78.05,2135.5,79.0925925925926,Yes,1
128,6734-PSBAW,128,128,128,72,23.55,1723.95,23.94375,No,0
129,3930-ZGWVE,129,129,129,1,19.75,19.75,19.75,No,0
130,2639-UGMAZ,130,130,130,71,56.45,3985.35,56.131690140845066,No,0
131,2876-GZYZC,131,131,131,13,85.95,1215.65,93.51153846153846,No,0
132,6207-WIOLX,132,132,132,25,58.6,1502.65,60.106,Yes,1
133,8587-XYZSF,133,133,133,67,50.55,3260.1,48.65820895522388,No,0
134,3091-FYHKI,134,134,134,1,35.45,35.45,35.45,Yes,1
135,2372-HWUHI,135,135,135,2,44.35,81.25,40.625,Yes,1
136,7799-LGRDP,136,136,136,43,25.7,1188.2,27.632558139534886,No,0
137,7850-VWJUU,137,137,137,23,75.0,1778.5,77.32608695652173,No,0
138,3774-VBNXY,138,138,138,64,20.2,1277.75,19.96484375,No,0
139,6217-KDYWC,139,139,139,57,19.6,1170.55,20.5359649122807,No,0
140,0390-DCFDQ,140,140,140,1,70.45,70.45,70.45,Yes,1
141,3146-MSEGF,141,141,141,72,88.05,6425.65,89.24513888888889,No,0
142,4080-OGPJL,142,142,142,8,71.15,563.65,70.45625,Yes,1
143,1095-WGNGG,143,143,143,61,101.05,5971.25,97.88934426229508,No,0
144,2636-SJDOU,144,144,144,64,84.3,5289.05,82.64140625,No,0
145,1131-QQZEB,145,145,145,71,23.95,1756.2,24.735211267605635,No,0
146,5716-EZXZN,146,146,146,65,99.05,6416.7,98.71846153846154,No,0
147,6837-BJYDQ,147,147,147,3,19.6,61.35,20.45,No,0
148,2135-RXIHG,148,148,148,1,45.65,45.65,45.65,Yes,1
149,6440-DKQGE,149,149,149,30,64.5,1929.95,64.33166666666666,No,0
150,3466-BYAVD,150,150,150,15,69.5,1071.4,71.42666666666668,No,0
151,3780-YVMFA,151,151,151,8,68.55,564.35,70.54375,No,0
152,3874-EQOEP,152,152,152,7,95.0,655.5,93.64285714285714,Yes,1
153,1679-JRFBR,153,153,153,70,108.15,7930.55,113.29357142857143,No,0
154,9073-ZZIAY,154,154,154,62,86.1,5215.25,84.11693548387096,No,0
155,3077-RSNTJ,155,155,155,6,19.7,113.5,18.916666666666668,No,0
156,6551-GNYDG,156,156,156,14,80.9,1152.8,82.34285714285714,No,0
157,9167-APMXZ,157,157,157,22,84.15,1821.95,82.81590909090909,No,0
158,2749-CTKAJ,158,158,158,22,20.15,419.9,19.086363636363636,No,0
159,6371-NZYEG,159,159,159,16,64.25,1024.0,64.0,No,0
160,7554-NEWDD,160,160,160,10,25.7,251.6,25.16,No,0
161,8992-VONJD,161,161,161,13,56.0,764.55,58.81153846153846,No,0
162,0867-MKZVY,162,162,162,20,82.4,1592.35,79.61749999999999,Yes,1
163,4482-EWFMI,163,163,163,2,69.7,135.2,67.6,No,0
164,4648-YPBTM,164,164,164,53,73.9,3958.25,74.68396226415095,No,0
165,2907-ILJBN,165,165,165,11,20.6,233.9,21.263636363636365,No,0
166,6345-FZOQH,166,166,166,69,19.9,1363.45,19.76014492753623,No,0
167,3376-BMGFE,167,167,167,4,70.9,273.0,68.25,Yes,1
168,5997-OPVFA,168,168,168,72,89.05,6254.45,86.86736111111111,No,0
169,3445-HXXGF,169,169,169,58,45.3,2651.2,45.710344827586205,Yes,1
170,1159-WFSGR,170,170,170,16,20.4,321.4,20.0875,No,0
171,7654-YWJUF,171,171,171,43,84.25,3539.25,82.30813953488372,No,0
172,1875-QIVME,172,172,172,2,104.4,242.8,121.4,Yes,1
173,6727-IOTLZ,173,173,173,14,81.95,1181.75,84.41071428571429,No,0
174,0691-JVSYA,174,174,174,53,94.85,5000.2,94.3433962264151,Yes,1
175,5918-VUKWP,175,175,175,32,20.55,654.55,20.4546875,No,0
176,1744-JHKYS,176,176,176,34,24.7,780.2,22.947058823529414,No,0
177,2656-FMOKZ,177,177,177,15,74.45,1145.7,76.38000000000001,Yes,1
178,2070-FNEXE,178,178,178,7,76.45,503.6,71.94285714285715,Yes,1
179,5947-SGKCL,179,179,179,15,105.35,1559.25,103.95,No,0
180,3712-PKXZA,180,180,180,61,20.55,1252.0,20.524590163934427,No,0
181,6317-YPKDH,181,181,181,1,29.95,29.95,29.95,Yes,1
182,6582-OIVSP,182,182,182,1,45.3,45.3,45.3,No,0
183,9367-WXLCH,183,183,183,8,84.5,662.65,82.83125,Yes,1
184,5524-KHNJP,184,184,184,33,74.75,2453.3,74.34242424242424,No,0
185,1918-ZBFQJ,185,185,185,13,79.25,1111.65,85.51153846153846,Yes,1
186,1024-GUALD,186,186,186,1,24.8,24.8,24.8,Yes,1
187,4827-USJHP,187,187,187,20,51.8,1023.85,51.1925,No,0
188,8167-GJLRN,188,188,188,3,30.4,82.15,27.383333333333336,No,0
189,0956-SYCWG,189,189,189,13,19.65,244.8,18.83076923076923,No,0
190,8017-UVSZU,190,190,190,40,56.6,2379.1,59.4775,No,0
191,7100-FQPRV,191,191,191,43,71.9,3173.35,73.79883720930232,No,0
192,2472-OVKUP,192,192,192,6,91.0,531.0,88.5,Yes,1
193,2984-RGEYA,193,193,193,69,19.75,1375.4,19.933333333333334,No,0
194,9680-NIAUV,194,194,194,72,109.7,8129.3,112.90694444444445,No,0
195,2146-EGVDT,195,195,195,59,19.3,1192.7,20.215254237288136,No,0
196,2604-IJPDU,196,196,196,20,96.55,1901.65,95.08250000000001,No,0
197,9178-JHUVJ,197,197,197,24,24.1,587.4,24.474999999999998,No,0
198,6168-YBYNP,198,198,198,59,111.35,6519.75,110.5042372881356,No,0
199,7255-SSFBC,199,199,199,72,112.25,8041.65,111.68958333333333,No,0
200,3645-DEYGF,200,200,200,1,20.75,20.75,20.75,No,0
201,9323-HGFWY,201,201,201,27,101.9,2681.15,99.30185185185185,No,0
202,8544-GOQSH,202,202,202,14,80.05,1112.3,79.45,No,0
203,3363-DTIVD,203,203,203,71,105.55,7405.5,104.30281690140845,No,0
204,7018-WBJNK,204,204,204,13,78.3,1033.95,79.53461538461539,No,0
205,9142-KZXOP,205,205,205,44,68.85,2958.95,67.24886363636364,No,0
206,7674-YTAFD,206,206,206,33,79.95,2684.85,81.35909090909091,No,0
207,6348-SNFUS,207,207,207,72,55.45,4179.2,58.044444444444444,No,0
208,1285-OKIPP,208,208,208,1,79.9,79.9,79.9,Yes,1
209,7825-ECJRF,209,209,209,19,106.6,1934.45,101.81315789473685,Yes,1
210,1347-KTTTA,210,210,210,64,102.45,6654.1,103.9703125,No,0
211,7841-TZDMQ,211,211,211,2,46.0,84.5,42.25,Yes,1
212,4195-NZGTA,212,212,212,1,25.25,25.25,25.25,No,0
213,7157-SMCFK,213,213,213,61,19.75,1124.2,18.42950819672131,No,0
214,4709-LKHYG,214,214,214,29,20.0,540.05,18.622413793103448,No,0
215,2504-DSHIH,215,215,215,23,86.8,1975.85,85.90652173913043,No,0
216,0699-NDKJM,216,216,216,57,58.75,3437.45,60.30614035087719,No,0
217,9286-BHDQG,217,217,217,72,45.25,3139.8,43.608333333333334,No,0
218,0230-WEQUW,218,218,218,66,56.6,3789.2,57.41212121212121,No,0
219,2040-LDIWQ,219,219,219,65,84.2,5324.5,81.91538461538461,No,0
220,6496-JDSSB,220,220,220,8,80.0,624.6,78.075,No,0
221,9408-SSNVZ,221,221,221,4,70.15,268.35,67.0875,Yes,1
222,4443-EMBNA,222,222,222,71,24.75,1836.9,25.871830985915494,No,0
223,6469-MRVET,223,223,223,1,20.2,20.2,20.2,No,0
224,0742-MOABM,224,224,224,4,50.05,179.35,44.8375,Yes,1
225,5961-VUSRV,225,225,225,12,19.35,219.35,18.279166666666665,No,0
226,6778-JFCMK,226,226,226,24,50.6,1288.75,53.697916666666664,No,0
227,6341-JVQGF,227,227,227,31,81.15,2545.75,82.12096774193549,No,0
228,2232-DMLXU,228,228,228,1,55.2,55.2,55.2,Yes,1
229,4811-JBUVU,229,229,229,30,89.9,2723.15,90.77166666666668,No,0
230,0945-TSONX,230,230,230,47,85.3,4107.25,87.38829787234043,No,0
231,2651-ZCBXV,231,231,231,54,108.0,5760.65,106.6787037037037,No,0
232,3316-UWXUY,232,232,232,50,93.5,4747.5,94.95,No,0
233,8937-RDTHP,233,233,233,1,84.6,84.6,84.6,Yes,1
234,7083-MIOPC,234,234,234,72,20.25,1566.9,21.762500000000003,No,0
235,1984-GPTEH,235,235,235,29,25.15,702.0,24.20689655172414,No,0
236,1251-KRREG,236,236,236,2,54.4,114.1,57.05,Yes,1
237,0621-JFHOL,237,237,237,10,29.6,299.05,29.905,No,0
238,9903-LYSAB,238,238,238,18,73.15,1305.95,72.55277777777778,No,0
239,0094-OIFMO,239,239,239,11,95.0,1120.3,101.84545454545454,Yes,1
240,9227-UAQFT,240,240,240,16,19.75,284.35,17.771875,No,0
241,7301-ABVAD,241,241,241,72,86.6,6350.5,88.20138888888889,No,0
242,6614-FHDBO,242,242,242,72,109.2,7878.3,109.42083333333333,No,0
243,7576-ASEJU,243,243,243,41,74.7,3187.65,77.74756097560976,No,0
244,9058-HRZSV,244,244,244,65,94.4,6126.15,94.24846153846153,No,0
245,4522-AKYLR,245,245,245,13,54.8,731.3,56.25384615384615,No,0
246,0221-WMXNQ,246,246,246,4,75.35,273.4,68.35,No,0
247,0303-UNCIP,247,247,247,41,65.0,2531.8,61.75121951219513,No,0
248,9947-OTFQU,248,248,248,15,74.4,1074.3,71.61999999999999,Yes,1
249,0322-YINQP,249,249,249,1,48.55,48.55,48.55,Yes,1
250,0959-WHOKV,250,250,250,42,99.0,4298.45,102.34404761904761,No,0
251,4075-JFPGR,251,251,251,51,93.5,4619.55,90.57941176470588,No,0
252,4629-NRXKX,252,252,252,2,70.4,147.15,73.575,Yes,1
253,9514-JDSKI,253,253,253,1,40.2,40.2,40.2,Yes,1
254,3282-ZISZV,254,254,254,32,83.7,2633.3,82.290625,No,0
255,3675-YDUPJ,255,255,255,10,19.85,193.05,19.305,No,0
256,4111-BNXIF,256,256,256,67,59.55,4103.9,61.252238805970144,No,0
257,7017-VFHAY,257,257,257,61,115.1,7008.15,114.88770491803278,No,0
258,6655-LHBYW,258,258,258,50,114.35,5791.1,115.822,No,0
259,4959-JOSRX,259,259,259,2,44.6,80.55,40.275,Yes,1
260,5046-NUHWD,260,260,260,29,45.0,1228.65,42.36724137931035,No,0
261,7273-TEFQD,261,261,261,3,41.15,132.2,44.06666666666666,Yes,1
262,3606-TWKGI,262,262,262,13,106.9,1364.3,104.94615384615385,Yes,1
263,7529-ZDFXI,263,263,263,57,89.85,4925.35,86.40964912280702,No,0
264,7605-BDWDC,264,264,264,31,49.85,1520.1,49.03548387096774,No,0
265,1950-KSVVJ,265,265,265,45,113.3,5032.25,111.82777777777778,No,0
266,0123-CRBRT,266,266,266,61,88.1,5526.75,90.60245901639344,No,0
267,6292-TOSSS,267,267,267,50,24.9,1195.25,23.905,No,0
268,3197-ARFOY,268,268,268,19,105.0,2007.25,105.64473684210526,No,0
269,6323-AYBRX,269,269,269,59,19.35,1099.6,18.63728813559322,Yes,1
270,7014-ZZXAW,270,270,270,71,24.25,1732.95,24.40774647887324,No,0
271,4385-GZQXV,271,271,271,16,94.45,1511.2,94.45,Yes,1
272,7633-MVPUY,272,272,272,57,59.75,3450.15,60.52894736842106,No,0
273,6366-ZGQGL,273,273,273,1,24.8,24.8,24.8,Yes,1
274,4716-HHKQH,274,274,274,20,107.05,2172.05,108.6025,No,0
275,5940-AHUHD,275,275,275,1,70.6,70.6,70.6,Yes,1
276,6432-TWQLB,276,276,276,5,85.4,401.1,80.22,Yes,1
277,4484-GLZOU,277,277,277,52,105.05,5624.85,108.17019230769232,Yes,1
278,3179-GBRWV,278,278,278,21,64.95,1339.8,63.8,No,0
279,8645-KWHJO,279,279,279,14,55.0,771.95,55.13928571428572,No,0
280,4130-MZLCC,280,280,280,5,50.55,244.75,48.95,No,0
281,0314-TKOSI,281,281,281,6,55.15,322.9,53.81666666666666,No,0
282,8229-MYEJZ,282,282,282,10,51.2,498.25,49.825,No,0
283,2080-SRCDE,283,283,283,1,25.4,25.4,25.4,No,0
284,9577-WJVCQ,284,284,284,68,54.45,3687.75,54.231617647058826,No,0
285,9512-UIBFX,285,285,285,18,95.15,1779.95,98.88611111111112,Yes,1
286,6202-DYYFX,286,286,286,22,76.0,1783.6,81.07272727272726,No,0
287,3808-HFKDE,287,287,287,20,44.35,927.15,46.3575,No,0
288,5583-SXDAG,288,288,288,1,70.0,70.0,70.0,Yes,1
289,3488-PGMQJ,289,289,289,8,74.5,606.55,75.81875,Yes,1
290,3580-REOAC,290,290,290,10,44.85,435.4,43.54,Yes,1
291,7534-BFESC,291,291,291,24,76.1,1712.7,71.3625,Yes,1
292,3727-OWVYD,292,292,292,35,61.2,2021.2,57.74857142857143,No,0
293,2294-SALNE,293,293,293,23,86.8,1940.8,84.38260869565217,No,0
294,4847-TAJYI,294,294,294,6,89.35,567.8,94.63333333333333,No,0
295,1563-IWQEX,295,295,295,12,19.7,220.35,18.3625,No,0
296,8203-XJZRC,296,296,296,1,20.25,20.25,20.25,No,0
297,6556-DBKZF,297,297,297,71,76.05,5436.45,76.56971830985916,No,0
298,6851-WEFYX,298,298,298,35,100.8,3437.5,98.21428571428571,No,0
299,2985-JUUBZ,299,299,299,40,74.55,3015.75,75.39375,No,0
300,6390-DSAZX,300,300,300,1,73.6,73.6,73.6,Yes,1
301,0895-LMRSF,301,301,301,23,64.9,1509.8,65.64347826086956,No,0
302,8098-LLAZX,302,302,302,4,95.45,396.1,99.025,Yes,1
303,8266-VBFQL,303,303,303,4,90.4,356.65,89.1625,No,0
304,8181-YHCMF,304,304,304,68,60.3,4109.0,60.4264705882353,No,0
305,2240-HSJQD,305,305,305,38,81.85,3141.7,82.67631578947368,No,0
306,1248-DYXUB,306,306,306,52,24.8,1229.1,23.63653846153846,No,0
307,0265-EDXBD,307,307,307,32,74.9,2303.35,71.9796875,Yes,1
308,4115-BNPJY,308,308,308,29,75.55,2054.4,70.84137931034483,No,0
309,3167-SNQPL,309,309,309,38,101.15,3741.85,98.46973684210526,No,0
310,4091-TVOCN,310,310,310,48,78.75,3682.45,76.71770833333333,No,0
311,1098-TDVUQ,311,311,311,1,19.25,19.25,19.25,No,0
312,7277-OZCGZ,312,312,312,22,89.05,1886.25,85.73863636363636,No,0
313,1557-EMYVT,313,313,313,43,115.05,4895.1,113.83953488372094,No,0
314,2799-ARNLO,314,314,314,5,69.35,341.6,68.32000000000001,No,0
315,7563-BIUPC,315,315,315,5,80.6,415.55,83.11,Yes,1
316,5027-YOCXN,316,316,316,51,110.05,5686.4,111.49803921568626,No,0
317,3973-SKMLN,317,317,317,71,19.9,1355.1,19.085915492957746,No,0
318,2321-OMBXY,318,318,318,38,80.3,3058.65,80.49078947368422,Yes,1
319,2840-XANRC,319,319,319,24,93.15,2231.05,92.96041666666667,Yes,1
320,6745-JEFZB,320,320,320,35,91.5,3236.35,92.46714285714286,No,0
321,5020-ZSTTY,321,321,321,54,82.45,4350.1,80.55740740740741,Yes,1
322,9880-TDQAC,322,322,322,72,60.0,4264.0,59.22222222222222,No,0
323,8705-WZCYL,323,323,323,1,44.8,44.8,44.8,No,0
324,7102-JJVTX,324,324,324,9,48.6,422.3,46.922222222222224,No,0
325,8626-PTQGE,325,325,325,69,60.05,4176.7,60.53188405797101,No,0
326,4983-CLMLV,326,326,326,52,102.7,5138.1,98.8096153846154,No,0
327,5701-YVSVF,327,327,327,11,82.9,880.05,80.00454545454545,No,0
328,5804-LEPIM,328,328,328,2,70.35,139.05,69.525,Yes,1
329,5697-GOMBF,329,329,329,28,35.9,973.65,34.77321428571428,No,0
330,2739-CACDQ,330,330,330,17,82.65,1470.05,86.4735294117647,No,0
331,9385-EHGDO,331,331,331,35,19.85,739.35,21.124285714285715,No,0
332,9498-FIMXL,332,332,332,8,19.2,161.95,20.24375,No,0
333,2379-GYFLQ,333,333,333,46,94.9,4422.95,96.15108695652174,No,0
334,0122-OAHPZ,334,334,334,7,73.85,511.25,73.03571428571429,Yes,1
335,2868-SNELZ,335,335,335,2,80.6,155.8,77.9,Yes,1
336,4322-RCYMT,336,336,336,68,75.8,5293.95,77.85220588235293,Yes,1
337,6680-NENYN,337,337,337,43,104.6,4759.85,110.69418604651163,Yes,1
338,2088-IEBAU,338,338,338,68,88.15,6148.45,90.41838235294118,No,0
339,7982-VCELR,339,339,339,36,94.8,3565.65,99.04583333333333,No,0
340,1343-EHPYB,340,340,340,63,103.4,6603.0,104.80952380952381,Yes,1
341,6035-BXTTY,341,341,341,32,54.65,1830.1,57.190625,No,0
342,6885-PKOAM,342,342,342,71,85.75,6223.8,87.65915492957747,No,0
343,7520-HQWJU,343,343,343,66,67.45,4508.65,68.31287878787879,No,0
344,9639-BUJXT,344,344,344,63,20.5,1328.15,21.081746031746032,No,0
345,5924-SNGKP,345,345,345,41,20.25,865.0,21.097560975609756,No,0
346,0021-IKXGC,346,346,346,1,72.1,72.1,72.1,No,0
347,2034-GDRCN,347,347,347,2,90.4,168.2,84.1,Yes,1
348,8966-SNIZF,348,348,348,70,19.45,1303.5,18.62142857142857,No,0
349,6243-OZGFH,349,349,349,23,44.95,996.85,43.34130434782609,No,0
350,4654-DLAMQ,350,350,350,64,97.0,6430.9,100.4828125,No,0
351,0513-RBGPE,351,351,351,37,62.8,2278.75,61.58783783783784,No,0
352,5160-UXJED,352,352,352,17,44.6,681.4,40.08235294117647,No,0
353,4115-NZRKS,353,353,353,7,89.15,574.35,82.05,No,0
354,0219-YTZUE,354,354,354,4,84.8,371.9,92.975,Yes,1
355,0623-IIHUG,355,355,355,21,41.9,840.1,40.00476190476191,Yes,1
356,4572-DVCGN,356,356,356,10,80.25,846.0,84.6,Yes,1
