gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Tenure_Group,TotalCharges_Group,MonthlyCharges_Group,Avg_Monthly_Spend,Customer_Lifetime_Value,Has_Internet,Has_Security,Streaming_User,Support_User,Service_Count
1,0,0,0,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,3,0.018905472636815884,0.00015578121393953342,1,0-12,Low,Low,0.008121822133031087,0.0023567251461988304,1,1,1,1,0.4285714285714286
0,0,1,0,0.8055555555555555,1,2,0,0,2,0,2,0,0,2,1,1,0.4144278606965174,0.4022963304869605,0,49-72,Medium,Medium,0.45747999676430556,0.4063391812865497,0,0,0,1,0.4285714285714286
1,0,1,1,0.6805555555555555,1,0,0,2,2,0,2,0,0,0,0,1,0.4114427860696518,0.34058389106854375,0,49-72,Medium,Medium,0.4574574568745908,0.34156725146198835,0,1,0,1,0.4285714285714286
0,0,0,0,0.41666666666666663,1,0,0,2,2,0,0,0,0,0,1,0,0.3686567164179104,0.17445188091391645,0,25-48,Low,Medium,0.36608188939085917,0.19403508771929825,0,1,0,0,0.2857142857142857
1,0,1,1,0.6527777777777778,1,2,1,0,2,0,0,2,2,0,1,2,0.8069651741293532,0.545851603969536,1,25-48,Medium,High,0.8175619716552464,0.5461345029239766,1,0,1,0,0.5714285714285714
1,0,1,1,0.013888888888888888,0,1,0,0,2,0,0,0,0,0,0,2,0.11890547263681589,0.0013154858066005077,1,0-12,Low,Low,0.05389246462104748,0.0035321637426900584,0,0,0,0,0.14285714285714285
1,0,1,0,1.0,1,2,0,2,2,2,2,2,2,2,1,1,0.7164179104477612,0.7328236787445188,0,49-72,High,High,0.7111018685077933,0.76,0,1,1,1,1.0
0,0,0,1,0.2361111111111111,1,0,0,0,0,0,0,2,2,0,1,3,0.4621890547263682,0.12396722824832679,1,13-24,Low,Medium,0.46949698286767944,0.1286432748538012,0,0,1,0,0.2857142857142857
0,1,1,0,0.986111111111111,1,2,1,2,2,2,2,0,0,2,1,1,0.7771144278606964,0.778692591737826,0,49-72,High,High,0.7724270325351191,0.8000994152046783,1,1,0,1,0.7142857142857143
1,1,1,0,0.027777777777777776,1,0,1,0,0,2,0,2,2,0,1,1,0.7686567164179104,0.01879183014078006,0,0-12,Low,High,0.4678776787663899,0.022339181286549707,1,0,1,1,0.4285714285714286
0,0,1,1,0.375,1,0,0,2,2,2,2,0,0,1,0,3,0.47661691542288565,0.21412993307177478,0,25-48,Low,Medium,0.5261238304186949,0.2088947368421053,0,1,0,1,0.5714285714285714
1,0,0,0,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,0,0.019402985074626844,0.0001615508885298867,0,0-12,Low,Low,0.008349536772274957,0.0023625730994152046,1,1,1,1,0.4285714285714286
1,1,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0,0,0,0.26865671641791045,0.003052157858296792,0,0-12,Low,Low,0.12243457103345017,0.005292397660818714,0,0,0,0,0.0
0,0,1,1,1.0,1,2,1,2,2,0,2,2,0,2,0,0,0.8124378109452737,0.8346295868912993,0,49-72,High,High,0.821184739999792,0.8412631578947369,1,1,1,1,0.7142857142857143
1,0,0,0,0.06944444444444445,1,0,1,0,0,0,0,0,0,0,1,2,0.5119402985074627,0.034398799907685206,1,0-12,Low,Medium,0.3974379503602883,0.040760233918128656,1,0,0,0,0.0
0,0,0,0,0.6388888888888888,1,0,1,0,0,2,0,0,0,0,1,1,0.5626865671641791,0.40728132933302563,0,25-48,Medium,Medium,0.6040122730956249,0.4024327485380117,1,0,0,1,0.14285714285714285
1,0,0,0,0.4722222222222222,1,2,1,0,2,2,0,2,2,0,1,2,0.8766169154228854,0.4073909531502423,1,25-48,Medium,High,0.8400284606163596,0.42291228070175435,1,0,1,1,0.7142857142857143
0,0,0,0,0.15277777777777776,1,2,1,0,0,2,0,2,2,0,1,0,0.7920398009950248,0.12538656819755367,1,0-12,Low,High,0.7554053632516404,0.12588888888888888,1,0,1,1,0.5714285714285714
1,0,1,1,0.1388888888888889,1,0,0,0,2,0,0,0,0,1,0,3,0.3114427860696517,0.05272328640664667,0,0-12,Low,Low,0.3102577457479561,0.057953216374269007,0,0,0,0,0.14285714285714285
0,0,1,1,0.9722222222222222,1,2,0,2,2,0,0,2,0,2,1,1,0.5069651741293533,0.5600680821601662,0,49-72,Medium,Medium,0.5414262999937174,0.5665497076023392,0,1,1,0,0.5714285714285714
0,0,1,1,0.2361111111111111,1,0,2,1,1,1,1,1,1,1,0,3,0.02487562189054726,0.04609393030233095,0,13-24,Low,Low,0.12800092888163345,0.04125730994152047,1,1,1,1,0.4285714285714286
0,0,0,0,0.875,1,2,0,2,2,2,2,2,0,2,1,1,0.6129353233830845,0.5588102930994692,0,49-72,Medium,Medium,0.608242405612802,0.5883684210526315,0,1,1,1,0.8571428571428571
0,0,1,0,0.18055555555555555,1,2,0,2,2,0,2,2,0,0,1,2,0.5766169154228856,0.11108354488806832,0,13-24,Low,Medium,0.5548972016202944,0.11585964912280702,0,1,1,1,0.7142857142857143
0,0,0,0,0.6805555555555555,1,2,1,0,0,0,0,0,2,0,1,2,0.6592039800995024,0.44863835679667663,0,49-72,Medium,Medium,0.628043047424953,0.48426900584795324,1,0,1,0,0.2857142857142857
1,0,0,0,0.027777777777777776,1,0,0,0,2,0,0,0,0,0,0,3,0.30845771144278605,0.009023771059312256,0,0-12,Low,Low,0.21086375593981688,0.011520467836257311,0,0,0,0,0.14285714285714285
0,0,0,0,0.027777777777777776,1,0,1,0,0,0,0,2,0,0,1,2,0.6208955223880598,0.014464574198015234,1,0-12,Low,Medium,0.3540203591444585,0.018865497076023394,1,0,1,0,0.14285714285714285
1,0,0,0,0.7222222222222222,1,2,0,2,0,0,2,2,2,2,1,1,0.6119402985074627,0.4845372720978537,0,49-72,Medium,Medium,0.6412243737651234,0.48502923976608187,0,1,1,1,0.7142857142857143
0,0,1,1,0.9583333333333333,1,2,0,2,0,2,2,0,0,2,1,1,0.4567164179104478,0.4887260558504501,0,49-72,Medium,Medium,0.46990759212193517,0.517701754385965,0,1,0,1,0.5714285714285714
0,1,0,0,0.5972222222222222,1,2,1,0,2,0,0,2,0,0,1,2,0.7164179104477612,0.4407973690283868,0,25-48,Medium,High,0.7110251601517342,0.4538888888888889,1,0,1,0,0.4285714285714286
0,0,0,0,0.20833333333333331,1,0,1,2,2,0,0,2,2,0,1,1,0.8044776119402984,0.1624278790676206,1,13-24,Low,High,0.7283832260613687,0.17385964912280702,1,1,1,0,0.5714285714285714
0,1,1,0,0.3472222222222222,1,2,0,2,0,0,2,2,0,0,1,1,0.5099502487562189,0.2000750057696746,0,25-48,Low,Medium,0.5303590724727636,0.20321637426900585,0,1,1,1,0.5714285714285714
0,1,1,0,0.1111111111111111,1,2,1,0,2,0,0,0,0,0,1,1,0.6208955223880598,0.07090930071543965,1,0-12,Low,Medium,0.5572936271094798,0.07546198830409358,1,0,0,0,0.2857142857142857
0,1,1,1,0.8333333333333333,1,0,0,2,2,2,2,0,2,1,1,1,0.56318407960199,0.5120643895684284,0,49-72,Medium,Medium,0.5817797947107953,0.5252631578947369,0,1,1,1,0.7142857142857143
1,1,0,0,0.25,1,2,1,0,0,0,0,2,2,0,1,2,0.7681592039800995,0.20006346642049389,1,13-24,Low,High,0.756523961479505,0.20094736842105265,1,0,1,0,0.4285714285714286
0,0,1,1,0.875,1,2,1,2,0,0,0,2,2,1,1,1,0.8099502487562189,0.7261020078467574,0,49-72,High,High,0.8145732170151706,0.734263157894737,1,1,1,0,0.5714285714285714
1,1,1,1,0.9166666666666666,1,2,1,0,2,2,2,2,2,1,1,2,0.8975124378109453,0.8143953381029311,0,49-72,High,High,0.878375800077938,0.8371578947368421,1,0,1,1,0.8571428571428571
0,0,1,1,0.4722222222222222,1,2,2,1,1,1,1,1,1,2,0,1,0.06666666666666665,0.10102700207708286,0,25-48,Low,Low,0.14909019609008173,0.09921637426900584,1,1,1,1,0.5714285714285714
0,0,0,0,1.0,1,2,1,0,0,2,2,2,2,2,1,1,0.8880597014925372,0.9040964689591507,0,49-72,High,High,0.896299377164069,0.9052631578947369,1,0,1,1,0.7142857142857143
0,0,1,0,0.6527777777777778,1,2,1,0,0,2,0,2,2,0,1,2,0.818407960199005,0.5409993076390492,0,25-48,Medium,High,0.8095824711717428,0.5524561403508772,1,0,1,1,0.5714285714285714
1,0,0,0,0.8333333333333333,1,2,1,0,2,0,0,2,0,0,1,0,0.7129353233830846,0.6268059081467805,0,49-72,Medium,High,0.7302572055515394,0.6308771929824561,1,0,1,0,0.4285714285714286
1,0,1,0,1.0,0,1,0,2,2,2,0,0,0,2,0,0,0.2373134328358209,0.3396261250865451,0,49-72,Medium,Low,0.28593680138916333,0.35452631578947374,0,1,0,1,0.4285714285714286
0,0,1,1,0.25,1,0,0,0,0,2,2,0,0,1,1,1,0.3597014925373134,0.10827371336256636,0,13-24,Low,Medium,0.37518583561312485,0.11452631578947368,0,0,0,1,0.2857142857142857
0,0,0,0,0.125,1,2,1,0,0,0,0,2,2,0,0,2,0.7577114427860697,0.0967516732056312,1,0-12,Low,High,0.6971863204849594,0.09936842105263159,1,0,1,0,0.4285714285714286
0,0,0,0,0.041666666666666664,1,0,0,0,2,0,2,2,2,0,1,2,0.5676616915422885,0.025998153704131086,0,0-12,Low,Medium,0.4722042569120232,0.026421052631578946,0,0,1,1,0.5714285714285714
1,0,1,0,0.6527777777777778,1,2,1,0,2,0,0,0,0,1,1,2,0.6034825870646766,0.41905723517193627,0,25-48,Medium,Medium,0.6090512669876161,0.43371929824561406,1,0,0,0,0.2857142857142857
0,0,0,0,0.4305555555555555,1,0,0,0,2,2,2,2,2,2,0,3,0.6064676616915423,0.28599123009462263,0,25-48,Low,Medium,0.6271640689174717,0.28715789473684217,0,0,1,1,0.7142857142857143
0,0,1,1,0.6944444444444444,1,0,2,1,1,1,1,1,1,2,0,0,0.018905472636815884,0.10525040387722133,0,49-72,Low,Low,0.0826112991233323,0.11783625730994152,1,1,1,1,0.4285714285714286
1,0,0,0,0.1388888888888889,1,0,1,2,0,2,0,0,0,0,1,3,0.6129353233830845,0.10022501730902378,0,0-12,Low,Medium,0.6511258593651782,0.09339181286549708,1,1,0,1,0.2857142857142857
1,0,0,0,0.013888888888888888,1,0,0,0,0,0,2,0,0,0,0,3,0.30646766169154227,0.0034906531271636275,0,0-12,Low,Low,0.1397408836159837,0.005736842105263157,0,0,0,1,0.14285714285714285
0,0,1,1,0.7222222222222222,1,0,2,1,1,1,1,1,1,1,1,2,0.021393034825870627,0.12368451419339951,0,49-72,Low,Low,0.10379204613384414,0.1240701754385965,1,1,1,1,0.4285714285714286
1,1,1,1,0.8888888888888888,1,2,1,2,0,2,2,2,2,2,1,0,0.9288557213930347,0.8170090006923609,0,49-72,High,High,0.911150498820635,0.8353684210526315,1,1,1,1,0.8571428571428571
1,0,1,1,0.861111111111111,1,2,2,1,1,1,1,1,1,2,1,0,0.05970149253731341,0.16222017078236786,0,49-72,Low,Low,0.12232252097286982,0.17584795321637428,1,1,1,1,0.5714285714285714
0,0,0,1,0.041666666666666664,1,0,0,2,0,0,2,0,2,0,1,0,0.46019900497512434,0.018301407800600047,0,0-12,Low,Medium,0.32031859253636685,0.022631578947368423,0,1,1,1,0.4285714285714286
0,1,0,0,0.7777777777777777,1,2,1,2,2,2,0,2,2,1,0,2,0.917910447761194,0.7062889453034848,0,49-72,High,High,0.8974433682284175,0.7237426900584796,1,1,1,1,0.8571428571428571
0,0,0,0,0.6388888888888888,1,0,0,0,0,0,0,0,2,1,0,1,0.37213930348258706,0.30810639279944607,0,25-48,Low,Medium,0.4374511269695503,0.29940350877192984,0,0,1,0,0.14285714285714285
0,0,1,1,0.1111111111111111,1,0,0,2,2,0,0,0,0,0,0,3,0.3621890547263681,0.05347911377798293,0,0-12,Low,Medium,0.40442119929710013,0.05113450292397661,0,1,0,0,0.2857142857142857
1,1,0,0,0.41666666666666663,1,0,0,2,2,0,0,2,2,0,1,2,0.5621890547263682,0.24146088160627743,0,25-48,Low,Medium,0.5367062648862283,0.262280701754386,0,1,1,0,0.5714285714285714
0,0,1,1,0.625,1,2,2,1,1,1,1,1,1,1,1,1,0.07611940298507458,0.13821832448649896,0,25-48,Low,Low,0.1572551095647834,0.13631578947368422,1,1,1,1,0.5714285714285714
0,0,0,1,0.013888888888888888,1,0,1,0,0,0,0,2,0,0,1,2,0.607960199004975,0.006987075928917609,1,0-12,Low,Medium,0.2777359549977645,0.009280701754385964,1,0,1,0,0.14285714285714285
0,0,1,1,0.15277777777777776,0,1,0,2,0,0,0,2,2,0,0,2,0.32139303482587056,0.06306831294714979,0,0-12,Low,Low,0.34548106017281366,0.06503508771929824,0,1,1,0,0.4285714285714286
0,0,1,0,0.09722222222222221,1,0,1,0,0,2,0,0,0,0,1,0,0.5661691542288557,0.055169628432956384,1,0-12,Low,Medium,0.4821098437191312,0.06152631578947369,1,0,0,1,0.14285714285714285
0,0,0,0,0.5833333333333333,1,0,1,0,2,2,2,2,2,0,1,0,0.8512437810945274,0.4971959381490884,0,25-48,Medium,High,0.8330366377064201,0.5098947368421052,1,0,1,1,0.7142857142857143
0,0,1,0,0.6805555555555555,1,0,2,1,1,1,1,1,1,2,1,0,0.018905472636815884,0.11014885760443112,0,49-72,Low,Low,0.0936696578041654,0.11547953216374268,1,1,1,1,0.4285714285714286
1,0,0,0,0.125,1,2,1,0,2,0,0,2,2,0,1,1,0.8064676616915423,0.10384837295176552,0,0-12,Low,High,0.7532041217389497,0.10452631578947368,1,0,1,0,0.5714285714285714
0,0,1,0,0.4861111111111111,1,0,0,2,0,0,0,2,0,1,1,0,0.43681592039800987,0.2534791137779829,0,25-48,Low,Medium,0.47689770864310504,0.2544152046783626,0,1,1,0,0.2857142857142857
0,0,1,1,0.6666666666666666,1,0,2,1,1,1,1,1,1,2,0,0,0.023880597014925342,0.11980152319409186,0,25-48,Low,Low,0.11283802552245882,0.11592982456140351,1,1,1,1,0.4285714285714286
0,0,1,1,0.6388888888888888,1,0,2,1,1,1,1,1,1,2,1,3,0.01691542288557213,0.1048119086083545,0,25-48,Low,Low,0.09602451787348644,0.10733333333333334,1,1,1,1,0.4285714285714286
1,0,1,0,0.40277777777777773,0,1,0,0,0,0,0,2,0,0,0,3,0.154228855721393,0.11429148396030464,0,25-48,Low,Low,0.22278082206024563,0.11447368421052632,0,0,1,0,0.14285714285714285
1,0,1,1,0.41666666666666663,1,0,1,0,2,2,0,0,0,0,0,0,0.6348258706467661,0.29441495499653814,0,25-48,Low,Medium,0.6715427138526909,0.28789473684210526,1,0,0,1,0.2857142857142857
1,1,0,0,0.013888888888888888,1,0,1,0,0,0,2,0,0,0,0,2,0.5616915422885572,0.006450496192014771,0,0-12,Low,Medium,0.2565584935480853,0.00873684210526316,1,0,0,1,0.14285714285714285
1,0,1,1,0.9166666666666666,1,2,0,2,0,2,2,2,2,2,1,3,0.654228855721393,0.6572178629125317,0,49-72,Medium,Medium,0.6931996149352124,0.648421052631579,0,1,1,1,0.8571428571428571
0,0,0,0,0.9027777777777777,1,2,1,2,2,2,0,2,2,0,1,1,0.9233830845771144,0.8179321486268175,0,49-72,High,High,0.8971818777335919,0.8442397660818713,1,1,1,1,0.8571428571428571
1,0,0,0,1.0,1,2,1,0,2,2,0,2,2,2,1,0,0.8223880597014926,0.8585564274174937,0,49-72,High,High,0.8470568662722386,0.8496842105263158,1,0,1,1,0.7142857142857143
0,0,0,0,0.16666666666666666,1,2,1,2,0,0,0,0,0,0,1,2,0.6039800995024875,0.10484075698130627,1,0-12,Low,Medium,0.56611027083405,0.11080701754385966,1,1,0,0,0.2857142857142857
1,0,1,1,0.986111111111111,1,2,0,2,2,0,2,0,0,1,1,1,0.4835820895522387,0.545799676898223,0,49-72,Medium,Medium,0.517101993282938,0.5551286549707601,0,1,0,1,0.5714285714285714
1,0,0,0,0.06944444444444445,1,0,2,1,1,1,1,1,1,0,0,3,0.027860696517412936,0.010968151396261252,1,0-12,Low,Low,0.0891882337038462,0.012309941520467837,1,1,1,1,0.4285714285714286
1,0,0,0,0.7222222222222222,1,0,2,1,1,1,1,1,1,2,0,0,0.027363184079601977,0.12559427648280638,0,49-72,Low,Low,0.10663633087307879,0.12771929824561404,1,1,1,1,0.4285714285714286
0,1,1,0,0.3472222222222222,1,0,1,0,2,2,0,2,2,0,1,2,0.7985074626865671,0.2879875375028848,1,25-48,Low,High,0.7972581461772816,0.2880116959064328,1,0,1,1,0.5714285714285714
1,0,0,0,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,3,0.019402985074626844,0.0001615508885298867,0,0-12,Low,Low,0.008349536772274957,0.0023625730994152046,1,1,1,1,0.4285714285714286
0,0,1,1,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,2,0.011940298507462671,7.500576967459007e-05,0,0-12,Low,Low,0.0049338171836170175,0.0022748538011695906,1,1,1,1,0.4285714285714286
1,0,0,0,0.5277777777777778,1,2,1,0,0,2,2,2,0,1,0,0,0.763681592039801,0.41389337641357027,0,25-48,Medium,High,0.7584532361153659,0.4222222222222222,1,0,1,1,0.5714285714285714
0,1,1,0,0.9166666666666666,0,1,0,0,2,2,0,2,0,1,0,0,0.2716417910447761,0.3471555504269559,0,49-72,Medium,Low,0.3279045488765504,0.35161403508771927,0,0,1,1,0.4285714285714286
1,0,1,0,0.9444444444444444,1,2,1,0,2,2,2,2,2,2,1,0,0.9129353233830845,0.8761885529656128,1,49-72,High,High,0.9211816206211725,0.8748538011695907,1,0,1,1,0.8571428571428571
1,0,0,0,0.06944444444444445,0,1,0,0,0,0,0,0,0,0,0,3,0.06019900497512437,0.009393030233094853,0,0-12,Low,Low,0.06846620153265469,0.014210526315789474,0,0,0,0,0.0
0,0,1,1,1.0,1,2,1,2,2,0,0,2,2,1,1,2,0.854726368159204,0.840555042695592,0,49-72,High,High,0.8275919436848181,0.8770526315789474,1,1,1,0,0.7142857142857143
0,0,0,0,0.4444444444444444,0,1,0,2,0,0,0,0,0,1,0,3,0.11840796019900496,0.10487537502884837,0,25-48,Low,Low,0.17240068323844437,0.1128421052631579,0,1,0,0,0.14285714285714285
1,0,0,0,0.5972222222222222,1,2,1,0,0,0,0,2,2,1,0,3,0.7572139303482587,0.4503231017770598,0,25-48,Medium,High,0.7281141087604441,0.47450877192982455,1,0,1,0,0.4285714285714286
1,0,1,1,1.0,1,0,2,1,1,1,1,1,1,2,0,1,0.011442786069651711,0.15514078006000462,0,49-72,Low,Low,0.08645253865430007,0.16336842105263158,1,1,1,1,0.4285714285714286
1,0,1,0,0.7638888888888888,1,2,1,2,2,0,0,2,0,0,1,2,0.7810945273631841,0.6023655665820448,1,49-72,Medium,High,0.7684772678996631,0.6223684210526316,1,1,1,0,0.5714285714285714
0,0,0,0,0.7222222222222222,1,0,0,2,0,2,2,0,0,1,0,1,0.3950248756218906,0.34888645280406183,0,49-72,Medium,Medium,0.43919422722691764,0.35244444444444445,0,1,0,1,0.4285714285714286
0,0,0,0,0.5972222222222222,1,0,1,0,2,2,0,2,0,0,1,2,0.7303482587064677,0.45410800830833137,0,25-48,Medium,High,0.7349041452760792,0.4609298245614036,1,0,1,1,0.4285714285714286
0,1,1,0,0.5138888888888888,1,2,1,0,0,0,0,0,0,0,1,2,0.5796019900497512,0.3287964458804523,1,25-48,Low,Medium,0.6038472883570014,0.3310526315789474,1,0,0,0,0.14285714285714285
0,0,1,1,0.8888888888888888,0,1,0,0,2,0,2,2,2,2,1,2,0.36169154228855727,0.3928802215555043,0,49-72,Medium,Medium,0.3960950178724399,0.40870175438596495,0,0,1,1,0.5714285714285714
1,0,1,1,0.041666666666666664,1,0,1,2,2,0,0,2,0,0,0,2,0.7124378109452736,0.026494345718901455,0,0-12,Low,High,0.4819959863995093,0.03152631578947368,1,1,1,0,0.4285714285714286
0,0,0,0,0.5,0,1,0,2,0,0,0,0,0,2,0,0,0.127363184079602,0.12780406185091162,0,25-48,Low,Low,0.1936353997202676,0.13073684210526315,0,1,0,0,0.14285714285714285
0,0,1,1,0.1388888888888889,1,2,1,2,0,0,0,2,2,0,1,2,0.8159203980099502,0.12068428340641589,1,0-12,Low,High,0.7979396976849487,0.11725146198830409,1,1,1,0,0.5714285714285714
0,0,0,0,0.5694444444444444,1,0,2,1,1,1,1,1,1,2,0,3,0.023880597014925342,0.09420147703669514,0,25-48,Low,Low,0.09747270915062294,0.0990233918128655,1,1,1,1,0.4285714285714286
1,0,1,1,0.375,1,2,1,0,2,0,2,0,0,0,1,1,0.6661691542288557,0.24611123932610202,0,25-48,Low,Medium,0.61628256222789,0.2690526315789474,1,0,0,1,0.4285714285714286
0,0,1,1,0.7777777777777777,1,2,1,0,0,2,0,2,2,1,1,1,0.8114427860696517,0.6342776367412878,0,49-72,Medium,High,0.7977203362142893,0.6536608187134504,1,0,1,1,0.5714285714285714
0,0,0,0,0.08333333333333333,1,0,2,1,1,1,1,1,1,0,0,3,0.024378109452736302,0.010841218555273483,0,0-12,Low,Low,0.06306611151630025,0.014526315789473684,1,1,1,1,0.4285714285714286
1,0,0,0,0.041666666666666664,1,2,1,0,0,0,0,0,0,0,1,2,0.5587064676616916,0.024319178398338335,1,0-12,Low,Medium,0.4390717769020412,0.02610526315789474,1,0,0,0,0.14285714285714285
0,0,1,1,0.09722222222222221,1,0,0,2,0,0,0,0,0,0,0,3,0.32288557213930347,0.03825871220863144,0,0-12,Low,Low,0.3152519418131909,0.041508771929824564,0,1,0,0,0.14285714285714285
0,0,1,1,0.05555555555555555,1,0,2,1,1,1,1,1,1,0,0,3,0.025870646766169153,0.005088852988691437,0,0-12,Low,Low,0.030938828985266134,0.009754385964912281,1,1,1,1,0.4285714285714286
1,0,0,0,0.4583333333333333,1,0,1,2,0,0,2,2,0,2,1,2,0.7034825870646766,0.34720170782367876,0,25-48,Medium,High,0.7274589725256141,0.34331578947368424,1,1,1,1,0.4285714285714286
0,1,0,0,0.375,1,2,1,0,0,2,0,0,0,0,1,2,0.5950248756218905,0.24425340410800833,1,25-48,Low,Medium,0.6110451255252811,0.24647368421052632,1,0,0,1,0.2857142857142857
1,0,1,0,1.0,1,2,2,1,1,1,1,1,1,2,1,0,0.0527363184079602,0.1967632125548119,0,49-72,Low,Low,0.1314589333804706,0.19831578947368422,1,1,1,1,0.5714285714285714
1,0,0,0,0.013888888888888888,1,0,2,1,1,1,1,1,1,0,0,3,0.014925373134328346,0.0001096238172167089,0,0-12,Low,Low,0.006300105019080196,0.002309941520467836,1,1,1,1,0.4285714285714286
